k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;variance;3;6;0;0.750000;10;0.796544
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
kills,deaths,assists,xp_per_min,hero_healing;-0,655865;0;5;1
kills,deaths,last_hits;-0,656107;0;3;1
deaths,assists,xp_per_min,hero_damage,hero_healing;-0,656153;0;5;1
assists,gold_per_min,last_hits;-0,656160;0;3;1
deaths,denies,xp_per_min;-0,656330;0;3;1
deaths,gold_per_min,hero_damage;-0,656338;0;3;1
kills,assists,gold_per_min;-0,656465;0;3;1
deaths,hero_damage,last_hits;-0,656587;0;3;1
kills,assists,last_hits;-0,656714;0;3;1
kills,deaths,hero_damage;-0,656891;0;3;1
assists,denies,xp_per_min;-0,656937;0;3;1
assists,gold_per_min,hero_damage;-0,656945;0;3;1
assists,hero_damage,last_hits;-0,657193;0;3;1
kills,assists,hero_damage;-0,657498;0;3;1
deaths,assists,gold_per_min,last_hits;-0,657675;0;4;1
kills,deaths,assists,gold_per_min;-0,657903;0;4;1
kills,deaths,assists,last_hits;-0,658090;0;4;1
deaths,assists,denies,xp_per_min;-0,658257;0;4;1
deaths,assists,gold_per_min,hero_damage;-0,658263;0;4;1
deaths,assists,hero_damage,last_hits;-0,658449;0;4;1
kills,deaths,assists,hero_damage;-0,658678;0;4;1
deaths,gold_per_min,xp_per_min;-0,658862;0;3;1
deaths,xp_per_min,last_hits;-0,659111;0;3;1
kills,deaths,xp_per_min;-0,659415;0;3;1
assists,gold_per_min,xp_per_min;-0,659468;0;3;1
assists,xp_per_min,last_hits;-0,659717;0;3;1
deaths,xp_per_min,hero_damage;-0,659895;0;3;1
kills,assists,xp_per_min;-0,660022;0;3;1
deaths,assists,gold_per_min,xp_per_min;-0,660156;0;4;1
deaths,assists,xp_per_min,last_hits;-0,660342;0;4;1
assists,xp_per_min,hero_damage;-0,660501;0;3;1
kills,deaths,assists,xp_per_min;-0,660571;0;4;1
deaths,assists,xp_per_min,hero_damage;-0,660930;0;4;1
kills,denies,gold_per_min,hero_healing;-1,052129;0;4;2
kills,denies,hero_healing,last_hits;-1,052316;0;4;2
denies,gold_per_min,hero_damage,hero_healing;-1,052489;0;4;2
denies,hero_damage,hero_healing,last_hits;-1,052675;0;4;2
kills,denies,xp_per_min,hero_healing;-1,054797;0;4;2
denies,xp_per_min,hero_damage,hero_healing;-1,055156;0;4;2
kills,deaths,denies,gold_per_min,hero_healing;-1,055240;0;5;2
kills,denies,gold_per_min;-1,055336;0;3;2
kills,deaths,denies,hero_healing,last_hits;-1,055389;0;5;2
deaths,denies,gold_per_min,hero_damage,hero_healing;-1,055527;0;5;2
kills,denies,last_hits;-1,055585;0;3;2
kills,assists,denies,gold_per_min,hero_healing;-1,055604;0;5;2
deaths,denies,hero_damage,hero_healing,last_hits;-1,055677;0;5;2
kills,assists,denies,hero_healing,last_hits;-1,055753;0;5;2
denies,gold_per_min,hero_damage;-1,055815;0;3;2
assists,denies,gold_per_min,hero_damage,hero_healing;-1,055891;0;5;2
assists,denies,hero_damage,hero_healing,last_hits;-1,056041;0;5;2
denies,hero_damage,last_hits;-1,056064;0;3;2
kills,deaths,denies,xp_per_min,hero_healing;-1,057374;0;5;2
kills,deaths,assists,denies,gold_per_min,hero_healing;-1,057617;0;6;2
deaths,denies,xp_per_min,hero_damage,hero_healing;-1,057662;0;5;2
kills,assists,denies,xp_per_min,hero_healing;-1,057738;0;5;2
kills,deaths,assists,denies,hero_healing,last_hits;-1,057741;0;6;2
deaths,assists,denies,gold_per_min,hero_damage,hero_healing;-1,057857;0;6;2
deaths,assists,denies,hero_damage,hero_healing,last_hits;-1,057981;0;6;2
