k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;inertia;3;6;0;0.750000;10;109.853800
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
kills,deaths,gold_per_min,hero_healing;1084,939066;0;4;1
deaths,hero_damage,hero_healing,last_hits;1085,346754;0;4;1
assists,denies,hero_healing,last_hits;1085,568836;0;4;1
deaths,gold_per_min,hero_damage,hero_healing;1085,709263;0;4;1
kills,deaths,hero_damage,hero_healing;1086,674801;0;4;1
assists,denies,gold_per_min,hero_healing;1087,520063;0;4;1
deaths,denies,xp_per_min,hero_healing;1089,213345;0;4;1
kills,deaths,hero_healing,last_hits;1089,671634;0;4;1
deaths,denies,gold_per_min,hero_healing;1090,283022;0;4;1
deaths,denies,hero_healing,last_hits;1090,825854;0;4;1
gold_per_min,xp_per_min;1405,929408;0;2;14
gold_per_min,last_hits;1407,425220;0;2;14
xp_per_min,last_hits;1407,912158;0;2;14
denies,xp_per_min,hero_damage;2029,338537;0;3;2
denies,hero_damage,last_hits;2030,209610;0;3;2
kills,denies,xp_per_min;2030,577591;0;3;2
denies,gold_per_min,hero_damage;2032,445655;0;3;2
kills,denies,gold_per_min;2032,573850;0;3;2
kills,denies,last_hits;2035,022873;0;3;2
assists,denies,xp_per_min,hero_damage;2059,084779;0;4;2
assists,denies,hero_damage,last_hits;2059,570290;0;4;2
kills,assists,denies,xp_per_min;2060,629644;0;4;2
assists,denies,gold_per_min,hero_damage;2062,216217;0;4;2
kills,assists,denies,gold_per_min;2063,144951;0;4;2
deaths,denies,hero_damage,last_hits;2064,045101;0;4;2
deaths,denies,xp_per_min,hero_damage;2064,141810;0;4;2
kills,assists,denies,last_hits;2064,734526;0;4;2
deaths,denies,gold_per_min,hero_damage;2065,288979;0;4;2
kills,deaths,denies,xp_per_min;2066,520080;0;4;2
kills,deaths,denies,gold_per_min;2066,619446;0;4;2
kills,deaths,denies,last_hits;2069,715950;0;4;2
denies,xp_per_min,hero_damage,hero_healing;2069,919266;0;4;2
denies,hero_damage,hero_healing,last_hits;2070,144422;0;4;2
kills,denies,xp_per_min,hero_healing;2072,785107;0;4;2
denies,gold_per_min,hero_damage,hero_healing;2073,008893;0;4;2
kills,denies,gold_per_min,hero_healing;2074,664485;0;4;2
kills,denies,hero_healing,last_hits;2076,655180;0;4;2
gold_per_min,xp_per_min,last_hits;3013,380118;0;3;3
kills,gold_per_min,xp_per_min;3018,437519;0;3;3
gold_per_min,xp_per_min,hero_damage;3018,896601;0;3;3
xp_per_min,hero_damage,last_hits;3019,568190;0;3;3
gold_per_min,hero_damage,last_hits;3020,571038;0;3;3
kills,xp_per_min,last_hits;3021,443819;0;3;3
kills,gold_per_min,last_hits;3021,676981;0;3;3
kills,xp_per_min,hero_damage;3022,056572;0;3;3
denies,gold_per_min,xp_per_min;3023,075188;0;3;3
denies,xp_per_min,last_hits;3024,302932;0;3;3
kills,hero_damage,last_hits;3024,371897;0;3;3
denies,gold_per_min,last_hits;3024,505035;0;3;3
kills,gold_per_min,hero_damage;3024,657623;0;3;3
assists,gold_per_min,xp_per_min,last_hits;3037,929212;0;4;3
deaths,gold_per_min,xp_per_min,last_hits;3038,996921;0;4;3
assists,xp_per_min,hero_damage,last_hits;3044,558063;0;4;3
kills,assists,gold_per_min,xp_per_min;3045,307794;0;4;3
assists,gold_per_min,xp_per_min,hero_damage;3045,654731;0;4;3
gold_per_min,xp_per_min,hero_healing,last_hits;3045,780749;0;4;3
deaths,gold_per_min,xp_per_min,hero_damage;3045,886780;0;4;3
assists,gold_per_min,hero_damage,last_hits;3046,205494;0;4;3
deaths,gold_per_min,hero_damage,last_hits;3047,290576;0;4;3
deaths,xp_per_min,hero_damage,last_hits;3047,480435;0;4;3
kills,deaths,gold_per_min,xp_per_min;3047,566571;0;4;3
kills,assists,xp_per_min,last_hits;3048,210851;0;4;3
kills,assists,xp_per_min,hero_damage;3048,829152;0;4;3
kills,assists,gold_per_min,last_hits;3048,942442;0;4;3
kills,deaths,xp_per_min,hero_damage;3051,227384;0;4;3
kills,assists,gold_per_min,hero_damage;3051,390900;0;4;3
kills,assists,hero_damage,last_hits;3051,473434;0;4;3
kills,deaths,gold_per_min,last_hits;3052,123204;0;4;3
assists,denies,gold_per_min,xp_per_min;3052,502548;0;4;3
kills,deaths,gold_per_min,hero_damage;3052,857728;0;4;3
assists,denies,xp_per_min,last_hits;3053,066883;0;4;3
kills,deaths,xp_per_min,last_hits;3053,208282;0;4;3
assists,denies,gold_per_min,last_hits;3054,081194;0;4;3
gold_per_min,xp_per_min,hero_damage,hero_healing;3054,104727;0;4;3
xp_per_min,hero_damage,hero_healing,last_hits;3054,216085;0;4;3
deaths,denies,gold_per_min,xp_per_min;3054,592039;0;4;3
kills,gold_per_min,xp_per_min,hero_healing;3054,611124;0;4;3
deaths,denies,gold_per_min,last_hits;3055,052885;0;4;3
gold_per_min,hero_damage,hero_healing,last_hits;3055,698628;0;4;3
kills,deaths,hero_damage,last_hits;3055,795554;0;4;3
deaths,denies,xp_per_min,last_hits;3056,137706;0;4;3
kills,xp_per_min,hero_damage,hero_healing;3056,612643;0;4;3
kills,xp_per_min,hero_healing,last_hits;3058,986818;0;4;3
kills,gold_per_min,hero_healing,last_hits;3059,040122;0;4;3
kills,gold_per_min,hero_damage,hero_healing;3060,504263;0;4;3
denies,gold_per_min,xp_per_min,hero_healing;3061,956243;0;4;3
denies,xp_per_min,hero_healing,last_hits;3062,200248;0;4;3
kills,hero_damage,hero_healing,last_hits;3062,213565;0;4;3
denies,gold_per_min,hero_healing,last_hits;3062,554897;0;4;3
deaths,assists,gold_per_min,xp_per_min,last_hits;3076,317574;0;5;3
deaths,assists,gold_per_min,xp_per_min,hero_damage;3084,637551;0;5;3
deaths,assists,gold_per_min,hero_damage,last_hits;3085,122618;0;5;3
deaths,assists,xp_per_min,hero_damage,last_hits;3085,295328;0;5;3
kills,deaths,assists,gold_per_min,xp_per_min;3085,798297;0;5;3
assists,gold_per_min,xp_per_min,hero_healing,last_hits;3086,462767;0;5;3
kills,deaths,assists,gold_per_min,last_hits;3089,058755;0;5;3
kills,deaths,assists,xp_per_min,last_hits;3090,358943;0;5;3
kills,deaths,assists,xp_per_min,hero_damage;3090,401663;0;5;3
deaths,gold_per_min,xp_per_min,hero_healing,last_hits;3090,594128;0;5;3
kills,deaths,assists,gold_per_min,hero_damage;3091,367285;0;5;3
deaths,assists,denies,gold_per_min,xp_per_min;3092,508177;0;5;3
kills,deaths,assists,hero_damage,last_hits;3093,487701;0;5;3
deaths,assists,denies,xp_per_min,last_hits;3094,006515;0;5;3
deaths,assists,denies,gold_per_min,last_hits;3094,317360;0;5;3
assists,xp_per_min,hero_damage,hero_healing,last_hits;3094,777428;0;5;3
assists,gold_per_min,xp_per_min,hero_damage,hero_healing;3095,051908;0;5;3
kills,assists,gold_per_min,xp_per_min,hero_healing;3095,305637;0;5;3
assists,gold_per_min,hero_damage,hero_healing,last_hits;3095,900854;0;5;3
kills,assists,xp_per_min,hero_healing,last_hits;3098,049577;0;5;3
kills,assists,gold_per_min,hero_healing,last_hits;3098,674586;0;5;3
kills,assists,xp_per_min,hero_damage,hero_healing;3098,691515;0;5;3
deaths,gold_per_min,xp_per_min,hero_damage,hero_healing;3099,531445;0;5;3
kills,denies,xp_per_min,hero_damage;4044,779160;0;4;4
kills,denies,gold_per_min,hero_damage;4047,743730;0;4;4
kills,denies,hero_damage,last_hits;4048,325180;0;4;4
kills,assists,denies,xp_per_min,hero_damage;4076,824659;0;5;4
kills,assists,denies,hero_damage,last_hits;4079,307934;0;5;4
kills,assists,denies,gold_per_min,hero_damage;4079,468653;0;5;4
kills,deaths,denies,xp_per_min,hero_damage;4083,682955;0;5;4
kills,deaths,denies,gold_per_min,hero_damage;4085,222288;0;5;4
kills,deaths,denies,hero_damage,last_hits;4086,532774;0;5;4
kills,denies,xp_per_min,hero_damage,hero_healing;4091,067032;0;5;4
kills,denies,gold_per_min,hero_damage,hero_healing;4094,448674;0;5;4
kills,denies,hero_damage,hero_healing,last_hits;4094,709111;0;5;4
denies,xp_per_min,hero_damage,last_hits;5040,583114;0;4;5
denies,gold_per_min,xp_per_min,hero_damage;5041,221853;0;4;5
kills,denies,gold_per_min,xp_per_min;5041,633074;0;4;5
denies,gold_per_min,hero_damage,last_hits;5042,305974;0;4;5
kills,denies,xp_per_min,last_hits;5045,030833;0;4;5
kills,denies,gold_per_min,last_hits;5045,337828;0;4;5
assists,denies,xp_per_min,hero_damage,last_hits;5071,758759;0;5;5
assists,denies,gold_per_min,xp_per_min,hero_damage;5072,627266;0;5;5
kills,assists,denies,gold_per_min,xp_per_min;5073,386893;0;5;5
assists,denies,gold_per_min,hero_damage,last_hits;5073,549079;0;5;5
kills,assists,denies,xp_per_min,last_hits;5075,947884;0;5;5
deaths,denies,gold_per_min,xp_per_min,hero_damage;5076,268994;0;5;5
deaths,denies,xp_per_min,hero_damage,last_hits;5076,815886;0;5;5
deaths,denies,gold_per_min,hero_damage,last_hits;5077,316886;0;5;5
kills,assists,denies,gold_per_min,last_hits;5077,350461;0;5;5
kills,deaths,denies,gold_per_min,xp_per_min;5078,202275;0;5;5
kills,deaths,denies,gold_per_min,last_hits;5081,831051;0;5;5
kills,deaths,denies,xp_per_min,last_hits;5082,255901;0;5;5
denies,xp_per_min,hero_damage,hero_healing,last_hits;5084,665056;0;5;5
denies,gold_per_min,xp_per_min,hero_damage,hero_healing;5085,566867;0;5;5
denies,gold_per_min,hero_damage,hero_healing,last_hits;5086,137910;0;5;5
kills,denies,gold_per_min,xp_per_min,hero_healing;5087,476001;0;5;5
kills,denies,xp_per_min,hero_healing,last_hits;5090,215385;0;5;5
kills,denies,gold_per_min,hero_healing,last_hits;5090,393631;0;5;5
gold_per_min,xp_per_min,hero_damage,last_hits;6027,145152;0;4;6
kills,gold_per_min,xp_per_min,last_hits;6028,523508;0;4;6
kills,gold_per_min,xp_per_min,hero_damage;6031,853177;0;4;6
denies,gold_per_min,xp_per_min,last_hits;6032,982304;0;4;6
kills,xp_per_min,hero_damage,last_hits;6033,214394;0;4;6
kills,gold_per_min,hero_damage,last_hits;6034,663072;0;4;6
assists,gold_per_min,xp_per_min,hero_damage,last_hits;6054,963231;0;5;6
deaths,gold_per_min,xp_per_min,hero_damage,last_hits;6056,982625;0;5;6
kills,assists,gold_per_min,xp_per_min,last_hits;6057,438713;0;5;6
kills,assists,gold_per_min,xp_per_min,hero_damage;6060,712904;0;5;6
kills,deaths,gold_per_min,xp_per_min,last_hits;6061,713307;0;5;6
kills,assists,xp_per_min,hero_damage,last_hits;6061,830247;0;5;6
kills,deaths,gold_per_min,xp_per_min,hero_damage;6062,542988;0;5;6
kills,assists,gold_per_min,hero_damage,last_hits;6063,382915;0;5;6
assists,denies,gold_per_min,xp_per_min,last_hits;6064,065179;0;5;6
gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits;6066,200412;0;5;6
kills,deaths,xp_per_min,hero_damage,last_hits;6066,310694;0;5;6
deaths,denies,gold_per_min,xp_per_min,last_hits;6066,946794;0;5;6
kills,deaths,gold_per_min,hero_damage,last_hits;6067,010760;0;5;6
kills,gold_per_min,xp_per_min,hero_healing,last_hits;6069,662064;0;5;6
kills,gold_per_min,xp_per_min,hero_damage,hero_healing;6071,684762;0;5;6
kills,xp_per_min,hero_damage,hero_healing,last_hits;6074,464934;0;5;6
denies,gold_per_min,xp_per_min,hero_healing,last_hits;6075,256539;0;5;6
kills,gold_per_min,hero_damage,hero_healing,last_hits;6076,187327;0;5;6
deaths,assists,gold_per_min,xp_per_min,hero_damage,last_hits;6095,742412;0;6;6
kills,deaths,assists,gold_per_min,xp_per_min,last_hits;6099,521727;0;6;6
kills,denies,gold_per_min,xp_per_min,hero_damage;8057,216113;0;5;8
kills,denies,xp_per_min,hero_damage,last_hits;8058,518048;0;5;8
kills,denies,gold_per_min,hero_damage,last_hits;8060,444625;0;5;8
kills,assists,denies,gold_per_min,xp_per_min,hero_damage;8089,794278;0;6;8
kills,assists,denies,xp_per_min,hero_damage,last_hits;8090,868254;0;6;8
kills,assists,denies,gold_per_min,hero_damage,last_hits;8092,715384;0;6;8
kills,deaths,denies,gold_per_min,xp_per_min,hero_damage;8095,635503;0;6;8
kills,deaths,denies,xp_per_min,hero_damage,last_hits;8097,951811;0;6;8
kills,deaths,denies,gold_per_min,hero_damage,last_hits;8098,482738;0;6;8
denies,gold_per_min,xp_per_min,hero_damage,last_hits;9050,654758;0;5;9
kills,denies,gold_per_min,xp_per_min,last_hits;9053,826774;0;5;9
assists,denies,gold_per_min,xp_per_min,hero_damage,last_hits;9083,301199;0;6;9
kills,assists,denies,gold_per_min,xp_per_min,last_hits;9086,718723;0;6;9
deaths,denies,gold_per_min,xp_per_min,hero_damage,last_hits;9087,821583;0;6;9
kills,deaths,denies,gold_per_min,xp_per_min,last_hits;9092,051949;0;6;9
denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits;9098,765873;0;6;9
kills,gold_per_min,xp_per_min,hero_damage,last_hits;10042,001138;0;5;10
kills,assists,gold_per_min,xp_per_min,hero_damage,last_hits;10072,294070;0;6;10
kills,deaths,gold_per_min,xp_per_min,hero_damage,last_hits;10076,099515;0;6;10
kills,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits;10086,869384;0;6;10
kills,deaths,assists,denies,hero_damage;10108,090922;0;5;1
kills,assists,denies,hero_damage,hero_healing;10117,618319;0;5;1
deaths,assists,gold_per_min,xp_per_min,hero_healing;10117,800670;0;5;1
deaths,assists,gold_per_min,hero_healing,last_hits;10119,928010;0;5;1
deaths,assists,xp_per_min,hero_healing,last_hits;10120,100561;0;5;1
kills,deaths,denies,hero_damage,hero_healing;10125,979288;0;5;1
kills,deaths,assists,xp_per_min,hero_healing;10126,868390;0;5;1
