k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;euclidean;3;6;0;0.750000;10;169.469245
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,assists,gold_per_min,hero_damage;-0,468587;0;4;1
kills,deaths,hero_healing,last_hits;-0,468679;0;4;1
deaths,denies,xp_per_min,hero_healing;-0,469691;0;4;1
deaths,assists,denies,gold_per_min;-0,470098;0;4;1
kills,deaths,assists,last_hits;-0,470275;0;4;1
deaths,xp_per_min,hero_damage,hero_healing;-0,471073;0;4;1
kills,deaths,denies,hero_damage;-0,472032;0;4;1
deaths,assists,xp_per_min,hero_damage;-0,472587;0;4;1
kills,deaths,assists,xp_per_min;-0,474315;0;4;1
deaths,assists,denies,last_hits;-0,475288;0;4;1
deaths,assists,denies,xp_per_min;-0,476884;0;4;1
kills,assists,denies,hero_damage,hero_healing;-0,479172;0;5;1
deaths,assists,gold_per_min,xp_per_min,hero_healing;-0,481396;0;5;1
deaths,assists,hero_damage,hero_healing,last_hits;-0,483431;0;5;1
deaths,assists,gold_per_min,hero_healing,last_hits;-0,484305;0;5;1
deaths,assists,xp_per_min,hero_healing,last_hits;-0,485696;0;5;1
kills,deaths,denies,hero_damage,hero_healing;-0,488576;0;5;1
kills,deaths,assists,gold_per_min,hero_healing;-0,489739;0;5;1
kills,deaths,assists,denies,hero_damage;-0,491639;0;5;1
kills,deaths,assists,hero_healing,last_hits;-0,492333;0;5;1
kills,deaths,assists,hero_damage,hero_healing;-0,497727;0;5;1
kills,deaths,assists,xp_per_min,hero_healing;-0,498896;0;5;1
deaths,assists,denies,hero_healing,last_hits;-0,499537;0;5;1
deaths,assists,gold_per_min,hero_damage,hero_healing;-0,500376;0;5;1
deaths,assists,xp_per_min,hero_damage,hero_healing;-0,501104;0;5;1
deaths,assists,denies,gold_per_min,hero_healing;-0,502619;0;5;1
deaths,assists,denies,xp_per_min,hero_healing;-0,506553;0;5;1
kills,deaths,assists,denies,hero_damage,hero_healing;-0,522294;0;6;1
denies,hero_damage,last_hits;-0,777336;0;3;2
kills,denies,last_hits;-0,815349;0;3;2
denies,hero_damage,hero_healing,last_hits;-0,816897;0;4;2
kills,denies,gold_per_min;-0,820359;0;3;2
kills,denies,xp_per_min;-0,821133;0;3;2
denies,xp_per_min,hero_damage;-0,825564;0;3;2
denies,gold_per_min,hero_damage,hero_healing;-0,825944;0;4;2
denies,xp_per_min,hero_damage,hero_healing;-0,827448;0;4;2
kills,denies,xp_per_min,hero_healing;-0,834756;0;4;2
denies,gold_per_min,hero_damage;-0,835178;0;3;2
kills,denies,gold_per_min,hero_healing;-0,838670;0;4;2
kills,denies,hero_healing,last_hits;-0,839428;0;4;2
assists,denies,xp_per_min,hero_damage;-0,850826;0;4;2
kills,assists,denies,gold_per_min;-0,852456;0;4;2
assists,denies,hero_damage,last_hits;-0,853830;0;4;2
kills,assists,denies,xp_per_min;-0,854679;0;4;2
assists,denies,gold_per_min,hero_damage;-0,860300;0;4;2
kills,assists,denies,last_hits;-0,861790;0;4;2
deaths,denies,hero_damage,last_hits;-0,868634;0;4;2
assists,denies,hero_damage,hero_healing,last_hits;-0,873050;0;5;2
deaths,denies,gold_per_min,hero_damage;-0,873933;0;4;2
deaths,denies,xp_per_min,hero_damage;-0,875396;0;4;2
assists,denies,xp_per_min,hero_damage,hero_healing;-0,877796;0;5;2
assists,denies,gold_per_min,hero_damage,hero_healing;-0,878491;0;5;2
kills,deaths,denies,gold_per_min;-0,878688;0;4;2
kills,assists,denies,gold_per_min,hero_healing;-0,879775;0;5;2
kills,assists,denies,hero_healing,last_hits;-0,879852;0;5;2
deaths,denies,hero_damage,hero_healing,last_hits;-0,882457;0;5;2
kills,assists,denies,xp_per_min,hero_healing;-0,882761;0;5;2
kills,deaths,denies,xp_per_min;-0,885495;0;4;2
kills,deaths,denies,last_hits;-0,888381;0;4;2
deaths,denies,xp_per_min,hero_damage,hero_healing;-0,890298;0;5;2
deaths,denies,gold_per_min,hero_damage,hero_healing;-0,890327;0;5;2
kills,deaths,denies,gold_per_min,hero_healing;-0,892118;0;5;2
kills,deaths,denies,hero_healing,last_hits;-0,894941;0;5;2
deaths,assists,denies,gold_per_min,hero_damage;-0,896213;0;5;2
kills,deaths,denies,xp_per_min,hero_healing;-0,898013;0;5;2
kills,deaths,assists,denies,xp_per_min;-0,898691;0;5;2
deaths,assists,denies,hero_damage,last_hits;-0,898994;0;5;2
kills,deaths,assists,denies,gold_per_min;-0,899088;0;5;2
deaths,assists,denies,xp_per_min,hero_damage;-0,899715;0;5;2
kills,deaths,assists,denies,last_hits;-0,903181;0;5;2
deaths,assists,denies,gold_per_min,hero_damage,hero_healing;-0,922441;0;6;2
deaths,assists,denies,hero_damage,hero_healing,last_hits;-0,923343;0;6;2
kills,deaths,assists,denies,gold_per_min,hero_healing;-0,924241;0;6;2
kills,deaths,assists,denies,xp_per_min,hero_healing;-0,924719;0;6;2
deaths,assists,denies,xp_per_min,hero_damage,hero_healing;-0,925157;0;6;2
kills,deaths,assists,denies,hero_healing,last_hits;-0,925574;0;6;2
kills,gold_per_min,xp_per_min;-1,072661;0;3;3
denies,gold_per_min,last_hits;-1,077022;0;3;3
gold_per_min,xp_per_min,hero_healing,last_hits;-1,077762;0;4;3
kills,gold_per_min,last_hits;-1,078732;0;3;3
denies,gold_per_min,xp_per_min;-1,080256;0;3;3
gold_per_min,xp_per_min,last_hits;-1,082062;0;3;3
kills,xp_per_min,last_hits;-1,085291;0;3;3
denies,gold_per_min,hero_healing,last_hits;-1,093785;0;4;3
gold_per_min,hero_damage,last_hits;-1,096802;0;3;3
gold_per_min,hero_damage,hero_healing,last_hits;-1,098011;0;4;3
denies,xp_per_min,last_hits;-1,098208;0;3;3
gold_per_min,xp_per_min,hero_damage;-1,100898;0;3;3
kills,gold_per_min,hero_healing,last_hits;-1,102075;0;4;3
kills,hero_damage,last_hits;-1,102257;0;3;3
xp_per_min,hero_damage,last_hits;-1,102352;0;3;3
denies,gold_per_min,xp_per_min,hero_healing;-1,104493;0;4;3
xp_per_min,hero_damage,hero_healing,last_hits;-1,104925;0;4;3
denies,xp_per_min,hero_healing,last_hits;-1,105236;0;4;3
assists,gold_per_min,xp_per_min,last_hits;-1,106972;0;4;3
kills,gold_per_min,xp_per_min,hero_healing;-1,108964;0;4;3
gold_per_min,xp_per_min,hero_damage,hero_healing;-1,109186;0;4;3
assists,xp_per_min,hero_damage,last_hits;-1,112042;0;4;3
kills,xp_per_min,hero_damage,hero_healing;-1,112380;0;4;3
deaths,gold_per_min,xp_per_min,last_hits;-1,112689;0;4;3
kills,assists,gold_per_min,xp_per_min;-1,114052;0;4;3
kills,assists,gold_per_min,last_hits;-1,115787;0;4;3
kills,xp_per_min,hero_healing,last_hits;-1,116251;0;4;3
kills,hero_damage,hero_healing,last_hits;-1,117463;0;4;3
kills,gold_per_min,hero_damage,hero_healing;-1,121092;0;4;3
kills,assists,xp_per_min,hero_damage;-1,121100;0;4;3
kills,assists,hero_damage,last_hits;-1,123009;0;4;3
kills,assists,xp_per_min,last_hits;-1,124366;0;4;3
assists,gold_per_min,hero_damage,last_hits;-1,124745;0;4;3
assists,gold_per_min,xp_per_min,hero_damage;-1,125494;0;4;3
deaths,gold_per_min,xp_per_min,hero_damage;-1,126727;0;4;3
kills,xp_per_min,hero_damage;-1,129651;0;3;3
assists,denies,gold_per_min,last_hits;-1,130882;0;4;3
assists,denies,xp_per_min,last_hits;-1,131576;0;4;3
assists,denies,gold_per_min,xp_per_min;-1,131582;0;4;3
kills,gold_per_min,hero_damage;-1,131706;0;3;3
kills,deaths,gold_per_min,xp_per_min;-1,132944;0;4;3
kills,assists,gold_per_min,hero_damage;-1,133578;0;4;3
deaths,gold_per_min,hero_damage,last_hits;-1,135805;0;4;3
assists,gold_per_min,xp_per_min,hero_healing,last_hits;-1,136656;0;5;3
kills,deaths,gold_per_min,hero_damage;-1,141889;0;4;3
deaths,xp_per_min,hero_damage,last_hits;-1,142157;0;4;3
kills,deaths,xp_per_min,hero_damage;-1,142953;0;4;3
deaths,gold_per_min,xp_per_min,hero_healing,last_hits;-1,143263;0;5;3
kills,deaths,gold_per_min,last_hits;-1,146934;0;4;3
kills,deaths,hero_damage,last_hits;-1,148202;0;4;3
deaths,denies,gold_per_min,last_hits;-1,149384;0;4;3
kills,assists,gold_per_min,xp_per_min,hero_healing;-1,149845;0;5;3
deaths,denies,gold_per_min,xp_per_min;-1,149976;0;4;3
deaths,denies,xp_per_min,last_hits;-1,150742;0;4;3
kills,assists,gold_per_min,hero_healing,last_hits;-1,151119;0;5;3
assists,gold_per_min,hero_damage,hero_healing,last_hits;-1,151312;0;5;3
assists,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,151558;0;5;3
deaths,assists,gold_per_min,xp_per_min,last_hits;-1,152156;0;5;3
kills,assists,xp_per_min,hero_healing,last_hits;-1,152877;0;5;3
kills,deaths,xp_per_min,last_hits;-1,153283;0;4;3
kills,assists,gold_per_min,hero_damage,hero_healing;-1,153625;0;5;3
assists,xp_per_min,hero_damage,hero_healing,last_hits;-1,153715;0;5;3
kills,assists,xp_per_min,hero_damage,hero_healing;-1,153717;0;5;3
kills,assists,hero_damage,hero_healing,last_hits;-1,153928;0;5;3
assists,denies,gold_per_min,hero_healing,last_hits;-1,155697;0;5;3
assists,denies,gold_per_min,xp_per_min,hero_healing;-1,156764;0;5;3
deaths,gold_per_min,hero_damage,hero_healing,last_hits;-1,156850;0;5;3
kills,deaths,gold_per_min,xp_per_min,hero_healing;-1,157716;0;5;3
kills,deaths,assists,gold_per_min,hero_damage;-1,157924;0;5;3
assists,denies,xp_per_min,hero_healing,last_hits;-1,159515;0;5;3
deaths,denies,gold_per_min,hero_healing,last_hits;-1,160789;0;5;3
deaths,xp_per_min,hero_damage,hero_healing,last_hits;-1,161863;0;5;3
deaths,assists,gold_per_min,hero_damage,last_hits;-1,163027;0;5;3
kills,deaths,hero_damage,hero_healing,last_hits;-1,163841;0;5;3
kills,deaths,assists,xp_per_min,hero_damage;-1,163991;0;5;3
deaths,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,164072;0;5;3
kills,deaths,gold_per_min,hero_damage,hero_healing;-1,164261;0;5;3
kills,deaths,assists,gold_per_min,last_hits;-1,164325;0;5;3
kills,deaths,assists,xp_per_min,last_hits;-1,165257;0;5;3
kills,deaths,gold_per_min,hero_healing,last_hits;-1,166125;0;5;3
kills,deaths,assists,hero_damage,last_hits;-1,166497;0;5;3
kills,deaths,xp_per_min,hero_damage,hero_healing;-1,167049;0;5;3
deaths,assists,denies,gold_per_min,xp_per_min;-1,167635;0;5;3
deaths,assists,gold_per_min,xp_per_min,hero_damage;-1,167717;0;5;3
deaths,denies,gold_per_min,xp_per_min,hero_healing;-1,168849;0;5;3
deaths,assists,xp_per_min,hero_damage,last_hits;-1,170002;0;5;3
deaths,denies,xp_per_min,hero_healing,last_hits;-1,170341;0;5;3
deaths,assists,denies,gold_per_min,last_hits;-1,171567;0;5;3
kills,deaths,assists,gold_per_min,xp_per_min;-1,172903;0;5;3
kills,deaths,xp_per_min,hero_healing,last_hits;-1,174541;0;5;3
deaths,assists,denies,xp_per_min,last_hits;-1,175426;0;5;3
deaths,assists,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,183733;0;6;3
deaths,assists,xp_per_min,hero_damage,hero_healing,last_hits;-1,184655;0;6;3
kills,deaths,assists,gold_per_min,hero_healing,last_hits;-1,185773;0;6;3
