File output_ga/ga_setpack_euclidean_log,csv
elapsed_time;max_gen_reached
47,418453;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;se;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;origin;generation
-0,400319;0;0;1;0;0;1;0;0;1;crossover;34
-0,410275;1;0;1;0;0;0;0;0;1;crossover;35
-0,821677;1;0;0;1;1;0;0;0;0;crossover;40
-0,450836;0;0;1;1;0;0;0;1;1;mutation;42
-0,456104;0;1;0;0;1;0;1;1;0;mutation;42
-1,711890;0;0;1;0;1;1;1;1;1;diversification;43
-1,735847;1;1;0;0;1;1;0;1;1;diversification;43
-2,147002;1;0;0;0;1;1;1;1;1;diversification;43
-1,587517;0;1;0;1;1;0;1;1;1;diversification;43
-1,963329;1;0;0;1;0;1;1;1;1;diversification;43
-0,395723;0;1;0;0;1;0;0;0;1;crossover;48
-0,378535;1;0;0;0;0;0;1;1;0;crossover;51
-2,337245;0;0;0;0;1;0;0;1;0;mutation;51
-1,726063;0;1;0;0;1;1;1;1;1;diversification;53
-2,162822;1;0;1;0;1;1;1;0;1;diversification;53
-0,453092;1;0;1;0;1;0;0;1;0;crossover;58
-2,370071;0;1;0;0;1;0;0;0;0;mutation;58
-0,392199;1;0;0;0;0;1;0;1;0;crossover;58
-0,813949;1;0;0;1;0;1;0;0;0;crossover;58
-1,739269;0;1;1;1;1;1;0;0;1;diversification;63
-1,726901;1;1;1;0;0;1;1;0;1;diversification;63
-2,080141;1;0;1;1;1;1;0;0;1;diversification;63
-0,833598;1;0;0;1;0;1;0;1;0;mutation;66
-2,374510;1;0;0;1;0;0;0;0;0;mutation;69
