k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;159.673632
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,denies,gold_per_min;-0,679562;0;3;1
kills,deaths,last_hits;-0,679779;0;3;1
assists,denies,xp_per_min;-0,680039;0;3;1
kills,assists,gold_per_min;-0,695859;0;3;1
denies,xp_per_min,hero_healing;-0,697918;0;3;1
assists,denies,last_hits;-0,702538;0;3;1
kills,deaths,denies,hero_damage;-0,703542;0;4;1
assists,gold_per_min,hero_damage;-0,708356;0;3;1
assists,xp_per_min,hero_damage;-0,709229;0;3;1
xp_per_min,hero_healing,last_hits;-0,716596;0;3;1
kills,assists,xp_per_min;-0,718311;0;3;1
assists,xp_per_min,last_hits;-0,719246;0;3;1
deaths,gold_per_min,xp_per_min;-0,725613;0;3;1
assists,hero_damage,last_hits;-0,730535;0;3;1
kills,assists,last_hits;-0,735900;0;3;1
assists,gold_per_min,last_hits;-0,740221;0;3;1
kills,hero_healing,last_hits;-0,756671;0;3;1
deaths,hero_damage,last_hits;-0,759444;0;3;1
kills,assists,denies,hero_damage;-0,759976;0;4;1
assists,gold_per_min,xp_per_min;-0,768181;0;3;1
denies,gold_per_min,hero_healing;-0,775481;0;3;1
kills,xp_per_min,hero_healing;-0,778801;0;3;1
kills,assists,hero_damage;-0,781012;0;3;1
kills,denies,hero_damage,hero_healing;-0,785610;0;4;1
gold_per_min,xp_per_min,hero_healing;-0,793928;0;3;1
kills,deaths,hero_damage;-0,795281;0;3;1
gold_per_min,hero_healing,last_hits;-0,800557;0;3;1
denies,hero_healing,last_hits;-0,801508;0;3;1
xp_per_min,hero_damage,hero_healing;-0,806620;0;3;1
hero_damage,hero_healing,last_hits;-0,817969;0;3;1
kills,gold_per_min,hero_healing;-0,820519;0;3;1
gold_per_min,hero_damage,hero_healing;-0,830255;0;3;1
kills,hero_damage,hero_healing;-0,872418;0;3;1
deaths,denies,xp_per_min,hero_damage,hero_healing;-0,877740;0;5;2
deaths,denies,gold_per_min,hero_damage,hero_healing;-0,882017;0;5;2
kills,deaths,assists,denies,gold_per_min,hero_healing;-0,885969;0;6;2
kills,deaths,denies,xp_per_min,hero_healing;-0,888646;0;5;2
kills,deaths,denies,gold_per_min,hero_healing;-0,888660;0;5;2
kills,deaths,assists,denies,hero_healing,last_hits;-0,895680;0;6;2
deaths,assists,denies,hero_damage,hero_healing,last_hits;-0,901564;0;6;2
kills,deaths,denies,hero_healing,last_hits;-0,902376;0;5;2
deaths,denies,hero_damage,hero_healing,last_hits;-0,903705;0;5;2
assists,denies,hero_damage,hero_healing,last_hits;-0,904144;0;5;2
assists,denies,gold_per_min,hero_damage,hero_healing;-0,905712;0;5;2
kills,deaths,assists,denies,xp_per_min,hero_healing;-0,906603;0;6;2
deaths,assists,denies,xp_per_min,hero_damage,hero_healing;-0,906854;0;6;2
kills,assists,denies,hero_healing,last_hits;-0,910373;0;5;2
deaths,assists,denies,gold_per_min,hero_damage,hero_healing;-0,911437;0;6;2
kills,assists,denies,gold_per_min,hero_healing;-0,915838;0;5;2
assists,denies,xp_per_min,hero_damage,hero_healing;-0,919546;0;5;2
kills,assists,denies,xp_per_min,hero_healing;-0,933467;0;5;2
deaths,assists,denies,xp_per_min,hero_damage;-0,954943;0;5;2
