,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
386068454,13.625,2.5,6.625,30.625,721.0,685.375,32159.125,2521.125,334.125,2.0,0.0,41.0,0.0,5.0079194099999995,75230.0,27.0,1012.0,27.0,1767.0,6.0,0.0,1.0,1.0,3.0,225.0,2.0,172880.0,205.0,6.0,6.78208,1.0,0.0,0.0,6.776191433742208,29.0,1453.0
386545209,6.642857142857143,5.142857142857143,10.357142857142858,15.107142857142858,506.07142857142856,541.0,20416.10714285714,305.2142857142857,276.75,2.0,0.0,335.0,0.0,16.8628614,111207.0,56.0,2607.0,57.0,5119.0,10.0,4.0,0.0,13.0,6.0,568.0,21.0,536110.0,890.0,10.0,556.6969022,13.0,0.0,0.0,18.90307661371406,265.0,5854.0
386736786,6.0,6.32258064516129,11.774193548387096,5.903225806451613,372.2903225806452,459.4193548387097,15557.870967741936,219.83870967741936,111.93548387096774,4.0,166.0,253.0,82.0,19.31164393,49891.0,32.0,1032.0,28.0,2439.0,4.0,0.0,3.0,22.0,10.0,151.0,48.0,367340.0,3362.0,4.0,668.4773272000001,14.0,111.0,26.0,15.452845364970841,307.0,3865.0
386837636,9.833333333333334,8.5,16.166666666666668,19.0,496.3333333333333,571.1666666666666,23201.666666666668,1886.3333333333333,183.83333333333334,2.0,1.0,39.0,0.0,3.53285479,20221.0,11.0,177.0,11.0,961.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,98280.0,413.0,0.0,210.44839100000002,4.0,1.0,1.0,4.4504323346068775,54.0,1002.0
387162912,7.5,8.0,14.25,6.375,446.0,560.0,29888.875,132.375,233.375,0.0,5.0,40.0,7.0,5.66498958,15205.0,11.0,455.0,11.0,1365.0,0.0,0.0,0.0,6.0,1.0,54.0,1.0,130155.0,133.0,0.0,332.08813050000003,9.0,5.0,7.0,4.116026543334003,77.0,2873.0
387229823,9.125,3.5,10.5,17.5,566.125,621.75,18815.75,938.25,269.25,2.0,2.0,50.0,1.0,4.31557356,51872.0,27.0,799.0,27.0,1313.0,3.0,0.0,0.0,0.0,1.0,192.0,8.0,137865.0,416.0,3.0,37.5192422,4.0,2.0,1.0,5.650311683088679,66.0,1387.0
387701090,1.75,8.375,9.5,7.375,219.0,269.25,8320.75,189.0,51.875,1.0,50.0,23.0,46.0,4.075962209999999,2326.0,1.0,139.0,1.0,305.0,0.0,0.0,1.0,14.0,8.0,21.0,2.0,51140.0,313.0,0.0,384.8788822,4.0,43.0,16.0,3.1039613915141766,58.0,1203.0
387748352,8.052631578947368,6.473684210526316,9.157894736842104,12.842105263157896,459.2105263157895,530.3157894736842,18892.947368421053,229.78947368421052,202.73684210526315,0.0,3.0,111.0,5.0,10.559049170000002,36472.0,20.0,1323.0,20.0,2554.0,4.0,1.0,1.0,11.0,7.0,251.0,10.0,272080.0,919.0,4.0,252.7607644,10.0,3.0,5.0,12.761713251558415,149.0,4307.0
389022189,5.15,4.4,7.0,16.95,573.15,566.7,18624.3,220.9,292.65,1.0,4.0,55.0,2.0,10.949603980000001,74402.0,25.0,1896.0,25.0,3931.0,7.0,11.0,0.0,7.0,9.0,503.0,25.0,340885.0,362.0,7.0,145.9431449,7.0,3.0,2.0,14.217574904484216,125.0,2688.0
389033587,8.56953642384106,3.827814569536424,8.701986754966887,16.28476821192053,606.5629139072847,622.3311258278146,23604.066225165563,149.8543046357616,312.4503311258278,9.0,30.0,1168.0,29.0,92.34006192000007,844690.0,368.0,15905.0,369.0,30461.0,75.0,33.0,8.0,114.0,139.0,3509.0,199.0,3081780.0,7124.0,75.0,2555.0233880999995,52.0,32.0,30.0,111.41906293987533,1113.0,27619.0
390160995,5.7592592592592595,5.555555555555555,11.666666666666666,8.351851851851851,432.6666666666667,527.8518518518518,14808.055555555555,2431.9814814814813,173.3148148148148,5.0,120.0,285.0,114.0,29.10361517000001,81171.0,53.0,2830.0,53.0,4805.0,11.0,0.0,8.0,38.0,33.0,741.0,65.0,646245.0,1603.0,11.0,1339.43607858,22.0,81.0,63.0,25.962396943494873,385.0,8621.0
