,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits
88470,3.870967741935484,5.696774193548387,10.838709677419354,4.587096774193548,368.69032258064516,428.5483870967742,12618.754838709678,368.68387096774194,131.08387096774194
95560,6.75,4.0,12.5,9.75,447.125,481.375,16293.875,0.0,139.625
140746,3.235294117647059,5.485294117647059,8.617647058823529,2.735294117647059,268.36764705882354,297.8529411764706,5365.14705882353,923.4705882352941,56.51470588235294
153671,4.304347826086956,5.739130434782608,10.043478260869565,2.739130434782609,310.5217391304348,345.69565217391306,7326.739130434783,3.5652173913043477,82.34782608695652
182666,1.8,4.8,10.2,0.6,262.8,311.4,4837.6,958.2,44.4
261696,7.538461538461538,6.923076923076923,11.461538461538462,7.0,465.38461538461536,500.0769230769231,15202.23076923077,511.0769230769231,195.6153846153846
295911,6.333333333333333,3.5833333333333335,10.583333333333334,12.5,484.4166666666667,473.4166666666667,12115.416666666666,36.666666666666664,182.41666666666666
308675,4.6,5.6,9.2,4.0,357.6,405.4,9202.0,5.0,102.6
400183,2.8461538461538463,5.846153846153846,10.076923076923077,1.9230769230769231,250.34615384615384,263.53846153846155,5383.2307692307695,1143.576923076923,40.5
423355,4.833333333333333,6.5,9.166666666666666,11.333333333333334,468.5,451.6666666666667,7558.833333333333,106.33333333333333,160.5
431070,6.4,7.333333333333333,12.933333333333334,5.466666666666667,355.6,382.26666666666665,10734.0,467.73333333333335,127.46666666666667
570733,7.809523809523809,4.904761904761905,10.761904761904763,5.9523809523809526,459.5238095238095,493.4761904761905,12639.0,415.7142857142857,193.38095238095238
758174,4.367647058823529,6.4411764705882355,9.75,3.8970588235294117,335.63235294117646,381.20588235294116,8408.70588235294,380.6617647058824,113.97058823529412
883737,3.3,7.9,12.7,1.1,241.2,298.6,7992.1,259.6,37.3
956503,8.333333333333334,4.5,8.833333333333334,14.0,407.0,442.5,10028.333333333334,333.8333333333333,152.0
