,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
302767246,2.5217391304347827,5.434782608695652,12.869565217391305,3.5217391304347827,301.3478260869565,378.17391304347825,9745.217391304348,1391.7826086956522,85.65217391304348,2.0,81.0,179.0,31.0,15.007699510000004,6462.0,8.0,381.0,8.0,1593.0,0.0,1.0,0.0,11.0,4.0,12.0,18.0,227425.0,1429.0,0.0,1097.0313711999997,8.0,76.0,21.0,9.205308666800724,186.0,4009.0
303227901,6.25,5.0,12.55,9.6,425.35,473.75,16274.0,591.2,176.4,2.0,36.0,167.0,18.0,11.44970714,23965.0,17.0,808.0,17.0,2673.0,3.0,0.0,0.0,8.0,5.0,67.0,7.0,259820.0,1783.0,3.0,714.01192213,9.0,28.0,13.0,11.040418258596421,133.0,4208.0
303324682,5.166666666666667,5.166666666666667,14.833333333333334,9.0,393.1666666666667,439.6666666666667,12249.166666666666,0.0,130.33333333333334,1.0,0.0,24.0,0.0,3.80207045,5196.0,4.0,179.0,4.0,605.0,0.0,0.0,1.0,2.0,2.0,17.0,2.0,65500.0,257.0,0.0,231.817396,1.0,0.0,0.0,3.8707017896641864,31.0,2395.0
303449532,7.166666666666667,3.1666666666666665,16.166666666666668,7.0,438.1666666666667,549.0,18928.666666666668,1417.3333333333333,135.66666666666666,0.0,10.0,45.0,4.0,3.35647644,4832.0,1.0,145.0,1.0,432.0,0.0,0.0,1.0,2.0,1.0,6.0,4.0,66525.0,51.0,0.0,304.025358,1.0,7.0,2.0,1.9583752262215965,39.0,764.0
303696868,4.2,6.4,11.6,1.6,300.4,408.2,7704.6,0.0,45.4,0.0,23.0,23.0,11.0,2.3378147,1443.0,1.0,60.0,1.0,169.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,34000.0,784.0,0.0,320.575245,1.0,19.0,6.0,1.6931429720490647,31.0,1460.0
303722450,2.8,8.6,9.6,3.0,275.6,358.0,11815.8,287.8,72.6,0.0,7.0,18.0,8.0,1.8217949299999998,0.0,0.0,53.0,0.0,179.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,25080.0,288.0,0.0,72.53773,0.0,7.0,4.0,1.6653931228634626,29.0,555.0
303809009,6.4,3.6,6.0,8.8,706.2,622.0,18121.8,28.6,359.8,0.0,1.0,18.0,0.0,1.2003367,14798.0,8.0,327.0,8.0,650.0,3.0,0.0,0.0,3.0,3.0,95.0,0.0,58775.0,29.0,3.0,0.0,1.0,1.0,0.0,1.2817212949929622,18.0,736.0
303837263,9.4,6.0,13.0,25.6,535.6,570.2,21295.4,0.0,192.4,1.0,1.0,8.0,0.0,3.8476630300000005,28392.0,9.0,293.0,9.0,739.0,2.0,0.0,0.0,1.0,1.0,47.0,0.0,71475.0,32.0,2.0,127.35684400000001,3.0,1.0,0.0,3.5244319324351494,31.0,1305.0
304110859,7.916666666666667,6.333333333333333,12.25,9.583333333333334,437.0,527.5,22136.75,242.16666666666666,200.25,1.0,10.0,63.0,1.0,8.40451887,20030.0,11.0,577.0,11.0,1790.0,4.0,5.0,0.0,5.0,9.0,72.0,4.0,188180.0,239.0,4.0,489.475833,15.0,10.0,1.0,7.107782022923788,104.0,2624.0
304691611,3.857142857142857,3.5714285714285716,13.285714285714286,13.142857142857142,451.42857142857144,495.42857142857144,12273.57142857143,721.8571428571429,141.14285714285714,1.0,1.0,25.0,0.0,4.1882395500000005,14883.0,9.0,187.0,9.0,823.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,84315.0,226.0,1.0,220.756418,2.0,1.0,0.0,4.621556404584758,38.0,1523.0
