,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,cluster
88470,0.28813559322033894,0.506747567737211,0.4927622312352574,0.20038359175493228,0.36379749733917366,0.42693218900202745,0.3414191357969866,0.1973003835895043,0.281789726332459,2
95560,0.521186440677966,0.30379746835443033,0.5790554414784397,0.37744458930899605,0.49098896870189834,0.49881301580988374,0.4423398355720409,0.0,0.2918226047904192,6
883737,0.22881355932203387,0.7974683544303798,0.5913757700205341,0.03911342894393741,0.12119035402770648,0.1807696132047331,0.1523334554373061,0.12323564782581177,0.062050898203592816,4
1296625,0.17984934086629,0.5411392405063291,0.5499657768651611,0.07757496740547586,0.14190681831138474,0.2522531293847294,0.18769531581666934,0.5855987720741819,0.07921656686626745,7
2434347,0.4457627118644068,0.7835443037974683,0.6190965092402467,0.11225554106910038,0.34126475115443816,0.43677040867057776,0.3414980556357452,0.18931577947971392,0.16150449101796407,4
2503633,0.2504708097928437,0.8945147679324894,0.4866529774127312,0.24815297696653632,0.14996294395986545,0.1712184990001436,0.18660705405162814,0.16483110745405827,0.05888223552894212,4
2946314,0.8310381355932204,0.2800632911392405,0.448151950718686,0.4666720990873533,0.7165293099025141,0.6839685666699812,0.7348921805747942,0.2812084625609216,0.4904098053892216,3
3505786,0.3954802259887006,0.6666666666666665,0.7659137577002056,0.3846153846153846,0.3824183341884728,0.4406217891352623,0.49226819854591153,0.5966833343882525,0.31122754491017973,0
3916428,0.1592755978639424,0.589041095890411,0.5980422491631744,0.09065742708649603,0.17902225939540478,0.2562653151011836,0.16862216572259567,0.9507927933708307,0.10839451234517268,7
4022514,0.16101694915254236,0.5569620253164557,0.8459958932238195,0.06779661016949151,0.20343766033863517,0.2690497497597029,0.1928639527239294,0.03837268181530477,0.1654191616766467,4
4281729,0.15383510485492674,0.6964170778802832,0.5211081335050292,0.18635228603628487,0.16114522006070037,0.22807918592834403,0.18415516132423748,0.6239828523796291,0.10586877093271087,7
4897705,0.20338983050847456,0.6369087275149898,0.7557548903058472,0.11960474850751387,0.20627312251897054,0.30940743027898876,0.2375519128083152,0.45737405098923656,0.08241411913016074,5
5150808,0.6929318427695634,0.23781308914624283,0.36721787758311863,0.5625052012538488,0.7563603266268571,0.7118249118323429,0.6287364035024106,0.12312252458747054,0.7125330456109058,3
5178461,0.26205997392438074,0.6640701071080819,0.7188437845522037,0.25784775849964897,0.15854284248332476,0.29430324075844605,0.1985195250970316,0.024648590222360715,0.09505988023952097,4
6103402,0.15614219289035544,0.6622605578581832,0.6643709908960408,0.07777688038674989,0.1469099197682496,0.242553286972223,0.17592770591810253,0.6943547452034322,0.0848855386571989,7
6199147,0.1918335901386749,0.6950517836593785,0.7442598469292517,0.06364821619058907,0.17682727739166937,0.2786729279470654,0.19802240082286754,0.753456778046942,0.08270958083832336,7
7353870,0.4152542372881356,0.7468354430379747,0.37885010266940466,0.17209908735332463,0.3091649563878912,0.3313301680421597,0.4482173224296911,0.02848281536806127,0.17561751497005987,2
7396553,0.2787193973634651,0.8663853727144867,1.0,0.16992611907866148,0.22698249814719793,0.24526863544463232,0.37511359308325465,0.16335422073126993,0.09181636726546909,4
7932121,0.6129943502824857,0.49367088607594933,0.5071868583162221,0.22425032594524114,0.599409953822473,0.6260564780749727,0.6156063432609521,0.020887397936578265,0.7151946107784432,3
8591574,0.169740777666999,0.601638123603872,0.5817731610097839,0.08093028606488227,0.15683948027646152,0.20926856623130524,0.17744554588538386,0.6332923621375888,0.08949564107079958,7
8712306,0.262343404568902,0.620253164556962,0.4946879742880102,0.2499007992744175,0.3783712940861534,0.40181292718461303,0.43615839314687677,0.3435584805862782,0.3459222858630565,2
9403474,0.30696798493408656,0.41631504922644164,0.6714579055441481,0.12212081703607126,0.18328487543469582,0.24024173323169049,0.15394464565993154,0.9052260691604954,0.04091816367265469,7
9807809,0.7796610169491526,0.5822784810126581,0.5359342915811091,0.348109517601043,0.7637249871729092,0.8183354877199961,0.7534370489329649,0.11687448572694474,0.49386227544910183,3
9876019,0.28813559322033894,0.49367088607594933,0.4712525667351131,0.23565840938722293,0.3329592098512057,0.335027841304564,0.32942746174951537,0.2850061712766631,0.2519648203592814,2
10288378,0.17984934086629,0.5428973277074541,0.7159479808350447,0.050412863972185994,0.2593067670030214,0.25677250781655675,0.2166184315542542,0.9752199506297866,0.1589321357285429,7
10366616,0.33629270917406506,0.4231464737793852,0.5738730810599395,0.3039051344136089,0.48298272618436816,0.5245323876128292,0.4010324797722697,0.5297607744914536,0.3887581978899345,0
10516239,0.6016949152542374,0.5886075949367089,0.6036960985626286,0.46740547588005216,0.539969214982042,0.6133973849060357,0.7815738797769135,0.29444110386733335,0.5717252994011977,3
11473065,0.3898305084745763,0.5063291139240506,0.27720739219712537,0.30117340286831806,0.49830682401231396,0.4146365715422094,0.32074223042717787,0.2084942084942085,0.2895209580838324,2
11550182,0.17391304347826084,0.5872317006053934,0.691991786447639,0.06907204806983731,0.15964244019601276,0.24562169546627705,0.18572115509866002,0.7605307297930247,0.068292762301484,7
11760391,0.5317796610169492,0.34335443037974683,0.6098562628336758,0.8223598435462841,0.5785338635197537,0.6758663120214776,0.45340269809347983,0.04124074308500538,0.5848615269461077,1
11865327,0.6091916558018252,0.34152872444011684,0.3693729268677937,0.7149859592819173,0.6918501105103209,0.6802332474128239,0.6588282198640336,0.11560645269661664,0.6621048767848917,3
12231202,0.5233861257756784,0.2207926955799959,0.40872521627899155,0.5214482655438476,0.6741806783358145,0.6283480608618308,0.6476879657169268,0.056184817673664754,0.6131282516933346,1
12929500,0.17514124293785308,0.8860759493670886,0.5441478439425055,0.014341590612777053,0.0867111339148281,0.1740412979351033,0.2199929648704444,0.129280334198367,0.004341317365269462,4
14353349,0.6140808344198175,0.47906523855890937,0.5387774443215926,0.5120850466352422,0.6471365986501953,0.62585569943629,0.5701118585599332,0.25826245088540173,0.48750575771533866,1
15272141,0.23728813559322032,0.5063291139240506,0.5359342915811091,0.3089960886571056,0.31334017444843504,0.4184647509197574,0.3692502735209853,0.5240838027723274,0.4291916167664671,0
16446200,0.3598435462842243,0.23563777994157742,0.43452851050386987,0.22776050546585092,0.6069384694320558,0.6508861030587191,0.40646795255896767,0.07668450291401113,0.42653155228005524,8
17108462,0.22033898305084745,0.3797468354430379,0.4250513347022589,0.08213820078226858,0.31621344279117497,0.34816545689569456,0.19056768643699798,0.0,0.22529940119760478,2
19195168,0.1965185524507558,0.6595963051659254,0.6464842666074702,0.035202086049543675,0.1544173727344583,0.2898680225417821,0.1883497205519344,0.10699017898840674,0.08328613044181905,4
19672354,0.43537823108844553,0.43224674209327507,0.5120931838418348,0.46037313518939427,0.5721949536181478,0.5293176973844955,0.5556998085100853,0.35361821376619,0.49080599862222457,6
19757254,0.5654853620955315,0.3498273878020713,0.43065148403957465,0.522342064714946,0.6311628340874107,0.554792229744999,0.6361686816762662,0.048075539878818574,0.6317365269461078,1
19966396,0.20338983050847456,0.22784810126582275,0.38809034907597556,0.011734028683181226,0.1323242688558235,0.17554936859898584,0.10797895283309517,0.6758022659662004,0.060479041916167674,7
20321748,0.34377021606934927,0.584984056430573,0.5054626393090587,0.3710998536978612,0.3856626416365409,0.41814330074301687,0.3695351779347967,0.13842068466020413,0.28726516432783283,2
20603135,0.5778478517934568,0.24492198999116865,0.419320949333843,0.5200266820290471,0.7170761392246471,0.6770651472652395,0.5333513151319995,0.06547735579378736,0.5275031332683471,1
20969644,0.3587570621468926,0.40928270042194087,0.4969199178644764,0.2340286831812255,0.3122327689413373,0.3618540983063208,0.31080959785743906,0.3745490220900057,0.20022455089820354,2
21265941,0.28662227602905566,0.4394213381555153,0.5141537107656208,0.07780778543490408,0.2207863006670087,0.26461668489609236,0.2691903952113987,0.13766694094562948,0.14033094525235246,5
21289303,0.5994585687382298,0.2035864978902953,0.37842231348391536,0.5586158192090395,0.7286072629838664,0.6192411587285805,0.5497543769422416,0.06489400700466275,0.6059287674650699,1
21604967,0.27236893969255027,0.42154842508095375,0.5267656749916435,0.08705011976592583,0.23693128258975982,0.27482304353556825,0.3037712638483309,0.462746391072735,0.12195376688483497,5
23090404,0.27118644067796605,0.45569620253164556,0.7248459958932242,0.06910039113428942,0.2615016247648366,0.2356401842829207,0.26822154350742444,1.0,0.16017964071856286,7
23467004,0.3008474576271187,0.5949367088607593,0.38809034907597556,0.35202086049543674,0.3570677270395074,0.39279854827483346,0.4070164015554914,0.25539591113361604,0.25819610778443114,2
23589642,0.2196870925684485,0.695715676728335,0.6371031432633079,0.031441179420318925,0.17000828827406553,0.28560283308220075,0.15678392691228163,0.43137771621378174,0.08236411791801015,5
23883296,0.21051447427628614,0.48975019603450204,0.7194308662390292,0.09214154676881539,0.18370777843868194,0.23516948966114404,0.21695395377823265,0.5149151088872546,0.060284298659318544,5
23900288,0.36271186440677966,0.49620253164556954,0.1687885010266941,0.4857887874837027,0.44184710107747555,0.49690762652878595,0.33234838931921773,0.08335970631052599,0.37107784431137725,8
24009418,0.25806451612903225,0.5215734313325168,0.5893223819301849,0.14875720233839423,0.35047382078117423,0.41178009360979345,0.31503887672066244,0.4712408638902557,0.2802620565320971,0
25051015,0.11016949152542371,0.6708860759493671,0.5359342915811091,0.023468057366362448,0.06085171883016929,0.09359152828875414,0.0773461550591072,0.05658585986454839,0.01534431137724551,9
25175582,0.3744083066116965,0.5763485003991332,0.6237305066873858,0.44571690334402186,0.4301928917116193,0.5046348426581102,0.6482462497284787,0.36257426487820815,0.43204806603010204,6
25907144,0.20848056537102466,0.4536386813973252,0.6586151602440851,0.09753479436656057,0.2003537194937333,0.28599966059187026,0.2192658964461332,0.6702100392362804,0.08881530225767548,7
26168855,0.2693032015065913,0.6272855133614625,0.39767282683093796,0.10908300738809211,0.19665355452938826,0.24604200501585405,0.25640330214425905,0.06529949152899972,0.18887225548902195,9
26316691,0.5774818401937046,0.4213381555153707,0.4165444411850985,0.47550754330415346,0.6419616897554301,0.6188889993702563,0.6159553411362045,0.1580909279972512,0.5875855431993157,1
26356855,0.20949763322644674,0.7200364921883908,0.6472242262796679,0.11131470453504352,0.20644682650839652,0.2808175083704566,0.2466234099082816,0.3084668946432349,0.11711711711711713,4
26682464,0.1718817905258583,0.5326192794547226,0.5940609698309907,0.04573262461137297,0.18317743484495674,0.1954755330513509,0.1438230909373536,0.8695779187582467,0.08924458774758175,7
26698681,0.27118644067796605,0.7594936708860759,0.4620123203285423,0.28552803129074317,0.2533606977937404,0.35303768519439205,0.31990383705669584,0.3245142097601114,0.17095808383233532,2
26771994,0.2293524052121093,0.5042803834052826,0.6696775112461577,0.10133317255880202,0.22379343786794473,0.32050117796766514,0.2457007737142095,0.45025074755956973,0.12026669204942719,5
27178898,0.2979139504563233,0.5034079844206427,0.5903095877428528,0.28737087553906326,0.40303829379958156,0.4437327425979608,0.34695932183590383,0.5195215313043182,0.3444949044219254,0
28070572,0.5311800447713464,0.31414696282143134,0.354732478400682,0.4767656392216674,0.5685878260420598,0.5817500623802815,0.4828447976727406,0.10567900762766212,0.47508049937860125,1
28519224,0.47303543913713414,0.4994246260069045,0.6546574575322011,0.2805499585160601,0.32195997947665467,0.39739394542019574,0.3970836631280038,0.04427783116307707,0.20080293957539466,6
28989415,0.711864406779661,0.5886075949367089,0.3480492813141685,0.38233376792698825,0.5706772703950743,0.6384545590136224,0.7245552706462858,0.0,0.5287238023952097,3
29071850,0.6440677966101694,0.40506329113924044,0.8809034907597538,0.3089960886571056,0.43760903027193426,0.5301779854827483,0.5770320971721205,0.11934299639217673,0.4125748502994013,6
29110522,0.6916868442292172,0.26160337552742613,0.6259900264007046,0.39001676289811876,0.6567042927997263,0.7014185807563555,0.6984742086259005,0.181611856084924,0.5059345594525235,3
29147141,0.3429710867397807,0.2814594192107222,0.2982244232395218,0.396426106296495,0.4610810973953458,0.4547608045903058,0.223839984908006,0.1481106399139186,0.3024392391687214,8
29203166,0.3516949152542373,0.49367088607594933,0.4866529774127312,0.39700130378096476,0.4341970241149307,0.4905476285174506,0.28084867921507356,0.023913697069434775,0.20172155688622753,2
29903942,0.1984047856430708,0.6909903201787044,0.47940572532914627,0.06051077536620905,0.1294932544593003,0.15874222812322714,0.1652921812026761,0.09273669591895242,0.06851003874603735,9
29904110,0.4406779661016949,0.6329113924050632,0.37577002053388103,0.26988265971316816,0.3488968701898409,0.43395147658347427,0.3902974404257951,0.16216216216216217,0.28166167664670655,2
29923238,0.16101694915254236,0.6564195298372515,0.7858609562921681,0.0910784131123114,0.228707029245767,0.29631102714527197,0.2785256309176962,0.09595996129953976,0.11879811804961506,4
30237211,0.2092343658679135,0.33684604352434994,0.5980214644804324,0.13597215175239719,0.2468286123741618,0.29199082471292953,0.22059449031645542,0.18405324025932923,0.15717087991504675,5
31447369,0.2627118644067796,0.4430379746835442,0.6788501026694047,0.14784876140808342,0.30242175474602356,0.3194889131947897,0.2651728191704854,0.4586397873283119,0.17603293413173654,5
31456357,0.17514124293785308,0.44444444444444436,0.34976043805612617,0.026510212950890916,0.22418904281397872,0.22206754830797784,0.10659482748164192,0.12168491676688398,0.1329840319361278,9
31584287,0.2504708097928437,0.6272855133614625,0.6098562628336758,0.026510212950890916,0.15634798472150957,0.2491354833007414,0.21765866036577822,0.5098423950882968,0.04665668662674651,7
31818853,0.28266812465828317,0.4017966516945691,0.4488971318805061,0.2686209361988476,0.3991790661877886,0.38752497858978024,0.3355797647136526,0.6140649979888477,0.3373575429785591,0
32335598,0.38180196253345233,0.397068620919387,0.6584891386577327,0.1504837713579908,0.4438848532310766,0.39925058744105973,0.417916802379125,0.6839873276456538,0.3497478726757013,0
