,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,n_matches
367687838,25,46,95,20,1597,1866,65854,0,204,5
368420844,33,22,53,75,3370,3527,85360,2644,1335,6
368747890,41,24,88,64,3531,3408,87677,919,1112,7
368829798,32,59,154,11,2288,3332,87784,3678,376,8
369414132,42,31,116,80,3781,4683,129400,3668,1036,9
369634075,56,82,92,189,5459,6208,195509,364,2986,13
369751488,858,474,873,2020,62754,66231,2108750,7584,29140,115
370141815,76,81,98,64,6864,7366,237623,7281,3389,14
370682828,88,35,108,348,5738,6016,214877,6803,2754,11
370966003,88,39,121,224,8218,8555,281091,0,4116,14
371082984,71,83,176,116,6028,6961,254945,1855,2212,15
371301825,35,33,65,33,2514,2999,105033,0,1142,7
371303420,61,85,119,108,5715,6604,181303,6974,2525,15
371313183,195,85,192,408,11957,12637,461462,12800,5907,22
371654813,48,48,46,132,4513,4543,135335,0,2436,8
371759313,45,136,225,44,5654,6610,142472,659,1123,23
371794485,14,38,62,13,1398,1790,29808,10348,150,5
372183905,13,38,36,9,1191,1410,27147,4443,128,5
372595310,266,108,304,596,18262,19783,653136,26383,8068,34
373520478,161,119,137,380,11465,11936,464853,0,6750,23
373842681,18,35,58,8,1351,1372,33091,1942,96,5
374680088,235,219,281,595,16852,17646,588820,13955,7514,38
375355974,29,42,66,23,2402,2662,70987,531,673,6
375600147,187,100,228,458,10749,12040,548647,7186,6344,21
375714519,43,42,49,26,1831,2121,77156,2006,542,5
376009596,63,55,170,78,4686,5589,170851,31762,1768,11
376322350,115,67,141,240,9723,10104,486071,0,5446,16
376376587,969,535,1297,2214,80861,82487,3176460,12094,42868,146
379822436,30,53,72,7,3114,3408,104779,3194,837,9
380046839,85,26,48,101,3539,3839,180543,1036,1445,6
380320771,54,167,232,32,5248,6936,152517,3074,765,22
380752185,6,41,26,25,1092,1276,35701,1405,276,5
381253334,39,108,173,30,3808,5140,132438,28140,649,15
381798403,82,107,224,178,7070,8964,278248,7335,2331,20
382225911,166,132,199,404,15307,16812,441707,8571,7654,30
382760585,18,24,28,84,1943,2204,63660,0,805,5
383370109,68,48,86,177,3964,4485,168032,481,1422,8
383546583,63,21,58,109,3126,2271,144577,0,1702,5
383666509,54,33,52,97,3077,3071,105014,696,833,6
383762590,21,35,41,35,3080,3319,64027,1000,1178,8
383949208,180,175,388,378,12118,13661,489465,15068,3873,29
384056871,50,50,107,78,4295,4603,197933,8550,2659,9
385295772,52,18,54,123,2770,2835,100682,1342,989,5
385477037,73,41,95,38,3441,3891,197685,7163,1711,8
385750274,719,392,746,906,52962,54726,1867340,21521,27818,97
386545209,209,159,327,463,15669,16777,635918,9776,8467,31
386736786,182,180,349,182,11274,13898,474817,6815,3419,30
387484160,7,40,12,20,1210,1359,19385,1113,183,6
387624608,70,82,163,97,5559,5954,218095,31079,1866,13
387748352,105,96,142,191,6378,7612,233817,4345,2091,15
388989769,21,29,15,36,1893,2232,48808,0,640,5
389033587,629,277,679,1115,41024,43996,1621365,8826,20882,72
390160995,294,227,504,464,21118,25040,712520,76262,9681,45
390217220,254,175,381,496,19798,20669,684301,4245,8784,38
390672777,25,30,76,22,1951,2012,70840,7374,538,5
390805531,56,86,172,25,5267,6915,161971,763,1393,17
390809044,28,104,144,20,3839,3981,87773,16032,461,15
391292627,17,17,15,82,2005,2111,28809,0,724,5
391505663,264,254,425,357,15097,18117,632515,3423,5209,35
392805928,57,22,48,51,3710,4038,117266,1400,1584,6
392845458,29,57,84,6,2213,2721,103802,0,467,8
396490246,29,27,77,43,2153,2095,99653,2411,788,5
397341548,60,92,132,36,3043,3923,145765,2811,630,9
397462905,1096,1165,2926,2231,95939,108450,3491987,191195,38782,236
397574220,377,184,389,491,23461,23600,906783,17830,10711,44
397825818,15,21,67,25,1954,2513,51901,5923,511,5
397958572,40,46,89,48,2965,2780,105634,4291,1213,7
398509581,51,85,139,117,5541,6335,183683,21249,2045,16
399414555,9,36,40,17,1520,1772,46850,1650,312,6
399494422,48,68,234,24,4988,4961,104302,48155,472,17
399816841,133,55,112,231,5594,5922,299820,703,2575,10
400157777,128,63,133,280,8826,9412,303169,10852,4252,16
400603826,150,96,196,391,10057,11256,429149,2229,4302,21
400850577,94,48,122,142,5862,7016,244469,784,3242,10
401136868,20,58,75,34,1777,2308,66297,0,440,8
401792574,418,987,1925,332,35643,45515,1440080,106053,6245,130
402103349,130,200,326,165,12216,14055,383541,2049,4499,35
403816765,83,127,253,44,5012,7130,193995,16309,1257,18
404049925,47,11,48,19,3390,2762,76515,2924,721,5
405535223,32,54,101,76,4190,4579,154714,5086,1843,10
405763628,47,22,37,135,3337,3663,106289,0,1351,6
406082399,77,74,83,173,5339,5993,210442,3103,2292,11
407261864,23,67,113,6,2327,2924,63735,4907,439,9
407321629,136,178,368,211,12854,14199,475112,17570,5040,32
407765515,105,129,305,142,8583,10112,355704,2250,3649,20
408175929,199,103,242,294,18571,19242,566135,2464,9758,30
410485012,117,71,173,216,7043,7768,290165,2330,3340,14
410581437,148,185,411,197,13833,15448,450376,38499,4951,35
410846289,45,82,63,80,3813,4475,135693,5269,1486,8
411463063,12,36,81,12,1902,1922,59705,2972,528,5
412753955,292,101,269,351,17103,17508,674189,1898,9035,28
412758827,154,57,108,340,8054,9020,339779,4079,3877,14
414842722,62,68,109,25,3357,3831,127129,5941,1660,9
415818479,19,50,64,7,1465,1859,41311,680,223,6
418993932,33,82,149,3,2471,3080,94812,0,330,11
420846621,52,51,151,80,4077,4844,145417,4389,1510,10
420865942,50,17,48,54,4692,4519,83944,178,1496,7
424969929,27,51,76,46,2035,2395,77823,1815,472,7
425494341,31,50,32,69,2156,2191,88161,750,926,6
426372866,200,168,286,533,18295,20971,701929,1137,9640,38
426689768,62,9,69,120,3008,3215,116341,232,1423,5
427606549,16,31,28,56,1913,2234,50345,700,566,5
427810097,50,21,48,105,4722,4219,82130,0,1365,7
432131719,80,47,120,242,6241,6689,231909,17420,3677,11
433042245,66,36,53,91,3214,3613,179816,0,1495,6
437984410,35,37,71,4,1642,1845,68625,6211,362,5
438561676,31,72,119,46,2985,3501,93530,1255,635,10
440429825,240,404,685,510,27295,30171,959766,55787,10545,66
443590438,27,55,68,52,2870,3173,100134,1260,989,7
444801057,35,26,93,39,3043,3786,110523,9247,1041,7
447402880,53,45,85,169,4788,4977,221470,1014,2310,10
447842799,68,79,224,109,7374,8896,287134,20498,3171,18
450209066,17,63,88,20,2009,2373,88829,280,618,6
452391505,49,17,28,38,2628,2624,107506,0,1264,5
460298719,56,40,48,153,3942,4516,132592,0,1704,8
463470841,63,91,129,75,3950,4692,182752,2494,1393,10
467336058,32,30,51,58,1879,2155,85147,0,755,5
468599935,147,63,124,116,7834,8706,323691,168,4516,13
472389625,44,52,144,56,2230,3229,149695,15787,663,8
480412663,237,107,366,345,15788,17178,687647,648,8427,28
486157553,44,80,209,84,4202,5744,123547,10653,442,16
491397500,21,37,66,11,1335,1855,48768,4157,145,6
835167397,27,13,41,62,2318,2004,68733,0,766,5
835692003,8,36,54,6,1230,1694,29035,4086,120,6
841756969,177,76,216,294,9962,10326,409644,19830,5050,18
842821081,26,40,82,53,1961,2393,101418,1929,918,5
843065405,47,23,61,82,2733,2978,109980,823,1379,5
844070589,31,46,92,19,1770,2233,54161,4399,183,6
847023107,99,69,252,164,7828,8922,260063,14456,2199,20
849035415,35,81,157,26,2982,4127,94027,26355,368,12
852808951,44,25,114,117,3896,4292,131955,1234,2227,8
867055953,47,78,216,25,3550,4640,172032,18242,608,13
874004354,46,46,61,13,2011,2446,127858,640,534,5
879233874,86,77,157,65,6265,7646,210816,6201,2315,13
881779341,66,27,97,103,4636,4583,198492,0,3640,8
883272180,122,54,129,158,7336,8106,280454,7029,3239,13
887022752,72,63,77,33,3538,4255,152492,1786,1171,8
