,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,n_matches
58298196,50,74,129,36,2751,3415,120840,6494,479,9
58429537,323,430,1144,403,27916,34595,1045436,101992,7053,81
58513047,645,321,671,719,36342,37862,1562486,19238,15262,63
58566232,214,80,209,329,11475,12162,636548,2880,6776,21
59273184,204,306,714,71,14242,18614,520070,33405,2743,49
59463394,2513,1207,2748,5052,165128,176212,6646612,113676,80257,300
59654545,14,22,82,21,1310,1678,50143,13609,280,5
59752811,160,98,281,189,11166,10856,557496,6130,4627,22
60726013,143,258,514,82,10980,13683,376532,10913,1753,36
60754084,69,190,270,46,6249,7132,204573,39954,960,25
60943014,434,854,2083,324,37895,47042,1235563,137574,5505,150
60969508,85,148,137,319,8530,9148,221337,2943,2653,25
61098207,227,344,630,460,20311,24171,851786,18237,8413,53
61130075,118,161,269,206,9276,10816,327012,18612,3446,27
61848417,18,53,85,46,2271,2826,102422,484,961,8
62156123,43,99,251,65,5620,6653,173636,22704,1109,19
62230193,22,26,63,6,1563,1752,41590,7621,285,5
62318370,46,41,54,108,3269,3400,163977,2266,1822,7
62451642,55,75,105,142,4368,4780,182762,6880,1697,11
62533910,2431,1228,3093,4237,184023,188130,6321489,373076,94986,332
63457172,145,62,126,227,7160,7490,403696,644,3861,13
63703276,141,225,540,199,11289,14314,452826,39502,2573,35
63860512,63,63,235,132,5607,6657,178785,3930,1828,15
64444715,483,240,617,631,26565,27096,1128180,4993,10851,51
64948828,48,73,247,134,6823,8472,198526,33293,2917,19
65096161,10,24,58,5,1330,1712,35094,15247,261,5
65166008,162,111,209,206,13543,14133,547102,10520,8653,24
65239442,11,55,51,26,1581,2188,32218,0,127,8
65402308,11,38,96,35,1366,1861,48199,0,318,5
65674469,589,264,627,1048,42720,44026,1528222,30990,22726,74
65945731,122,97,138,364,9314,10184,274572,9171,4145,19
66007204,12,44,44,7,1007,1384,28502,0,71,5
66228684,585,402,808,682,37328,39967,1734668,53887,16441,79
66526697,34,61,100,36,2787,2937,103580,4050,729,7
66527113,47,50,113,76,3612,4114,166049,4238,1427,10
66598119,424,354,818,557,29100,32212,1305695,24015,13430,64
66620961,214,513,972,133,19417,24737,750794,21555,3534,70
66835148,25,14,26,60,2078,2131,54887,560,810,5
67200576,33,40,138,20,1926,2847,69251,0,227,8
67220699,70,28,62,144,3322,3562,153778,0,1337,6
67557423,23,82,184,29,3290,4498,122942,0,671,13
67601693,128,76,223,300,10530,10292,358584,7094,4530,21
67700898,52,82,202,32,3804,5061,148139,3500,695,13
67893054,71,43,81,83,4446,5471,210205,4135,2431,10
67902269,62,99,296,42,6163,7911,163957,52161,1227,22
67964448,34,17,38,45,2625,2710,85982,0,1071,5
68007361,112,157,480,67,8447,10892,273812,81124,970,29
68254582,90,81,123,196,7091,7594,255508,1111,3316,15
68308368,19,30,49,36,2087,2392,68313,17596,636,6
68372445,30,55,127,1,2591,2933,76896,14015,239,10
68442816,89,44,92,159,4312,4686,236749,1510,2146,8
68446868,87,107,247,99,7629,9024,328140,13458,3132,18
68838211,64,103,248,62,5031,6368,171283,32070,977,17
68991700,26,35,64,60,1982,2240,78473,10292,795,5
69060220,80,128,279,38,5918,7144,188296,17232,1406,20
69297174,424,396,735,393,23004,25765,1177213,18185,8845,50
69417100,38,73,116,84,3691,4469,141511,0,1679,11
69602973,296,323,678,406,20485,24615,831303,33497,7883,53
69892285,28,24,31,125,2669,3108,98955,0,1432,5
70157388,31,85,67,65,4284,4191,88724,6076,1108,13
70237235,427,221,602,639,24996,26322,1238188,9479,12026,50
70388657,2143,1333,2882,6188,170484,180156,6642752,87998,94366,320
70615831,27,35,40,28,1656,1859,93862,2118,755,5
70663093,246,167,302,397,19288,19311,757000,84863,9652,38
70957265,67,16,68,146,3364,3740,122712,45476,1434,6
71015290,119,245,565,112,11926,13839,381138,51756,2272,36
71266407,290,333,819,323,29648,32353,972768,71714,11303,71
71286125,18,51,107,26,2528,3150,82203,6492,509,10
71346152,19,48,53,20,2261,2690,55848,5615,363,9
71505156,21,59,92,20,2110,2357,94512,2773,591,7
71543249,96,149,334,135,8792,10234,325049,19925,3536,21
71869498,80,202,407,62,7628,9388,316567,58558,1604,28
71899500,108,62,212,265,9275,10069,277490,15654,3815,19
72156367,102,237,339,97,8323,10719,304481,36588,1375,32
72312627,2344,1318,3605,3370,172795,175246,6963932,480957,73758,334
72982496,53,28,59,54,2705,2577,129285,317,1240,5
73073488,284,471,1040,308,18212,23907,830899,80156,3197,58
73188586,20,29,82,12,1510,1892,56356,0,186,6
73562326,1372,2054,4897,1370,129732,148680,4674874,463538,39777,376
74493279,184,145,210,339,12496,13619,478111,30632,5482,25
74767739,69,66,121,131,5094,5952,213929,4057,2170,11
75378194,164,84,148,319,10738,10361,399179,677,4034,19
75390186,133,197,383,188,10842,12978,365413,39769,2883,34
75391504,22,60,101,5,2244,3123,63866,0,442,9
75438820,36,108,138,74,3723,4388,106363,3143,490,17
75750590,598,1257,3022,764,61409,78469,1939255,146971,12567,228
76082466,133,37,167,136,7031,7754,355494,0,3366,12
76173488,231,330,721,353,24888,28093,806681,63592,9243,62
76224642,17,25,68,20,1515,2151,46787,24,286,5
76600360,321,835,1533,325,34003,39740,1099831,157735,5910,125
76904792,35,88,114,64,3792,4375,121565,4497,1437,12
77005135,66,106,89,127,5232,5953,200602,900,1851,15
77144682,96,111,178,276,10345,10990,346250,24092,5180,21
77178681,129,153,420,145,8823,10048,332059,78411,1228,28
77245246,31,34,38,21,1719,1929,80918,720,458,5
77271488,30,70,98,23,2851,3601,110626,3323,1054,9
77490514,689,526,1053,1164,40881,45606,1789386,44552,18446,93
77581590,64,70,244,44,6534,7504,238851,23777,2734,17
77919067,59,120,160,55,5538,6181,134778,58694,1615,15
78181911,63,145,320,161,6489,8386,245178,5764,1130,21
78343895,16,34,70,6,1411,1914,62388,2662,265,5
78649156,22,51,51,90,2673,2804,72084,0,980,7
78651939,33,31,47,52,3737,3724,81708,0,1387,7
78891550,109,150,336,116,7762,9154,292267,18398,2385,22
79002648,27,23,72,35,2084,2366,99121,22105,907,6
79175043,89,269,335,73,8027,9679,277207,39913,1108,34
79455406,59,47,103,53,3964,4398,153551,6803,1399,10
79470884,30,64,79,46,3138,3484,215203,3150,1583,9
79494587,69,43,66,109,3583,3794,181061,4097,1646,7
79875438,34,63,82,34,3506,4223,123709,5812,1122,10
79922175,143,80,172,189,8582,9211,357915,5511,4158,16
80055334,9,47,57,5,1124,1413,36522,0,58,6
80480646,25,71,67,30,1550,2185,73763,1608,268,6
80580792,59,81,248,40,4939,6067,137156,3321,771,19
80807610,179,129,327,171,11194,12937,428663,1013,3231,27
80929738,221,95,239,480,15976,16187,616620,7336,8549,26
81288503,105,44,113,273,6304,7284,247957,360,2362,12
81481903,448,520,1423,631,41701,49477,1293814,155426,13131,112
81725699,37,121,216,82,4443,5114,180476,11946,1177,18
81773653,228,167,350,185,15181,14352,554579,27144,5940,33
81852496,1465,882,2254,3550,111633,118253,4510609,34316,53693,216
81900639,40,86,141,53,3065,4289,111621,8030,685,12
81947490,49,76,172,12,3693,5092,109378,30249,428,16
82197207,8,19,42,17,1805,2051,31486,4975,548,5
82262664,947,1971,4435,545,95104,115811,2708016,508755,16607,335
82302800,74,67,177,84,7105,7768,188561,12526,2435,16
82305765,181,363,731,237,15240,19128,667652,33605,2878,53
82327674,1293,2487,5828,846,117194,151512,3652783,796957,24136,423
82452456,4,59,39,19,929,1192,26671,0,41,6
82630959,100,245,433,156,12040,14533,364586,28994,3540,44
82709828,128,161,453,134,9364,11436,305802,15416,1760,29
82948245,34,106,120,32,3415,4271,129933,6553,860,10
82975794,21,42,70,13,2233,2462,43993,0,365,8
82986718,23,92,89,12,2503,2913,89671,7299,679,10
83074695,119,61,123,155,6191,6597,257095,2223,3240,11
83116187,30,69,147,28,2752,3553,117496,5850,322,11
83502220,45,86,129,60,5060,6344,183105,11112,1733,15
83618525,26,44,37,79,2432,2726,81628,2246,912,6
83730388,82,114,319,163,9871,10991,304577,50392,3170,24
83855653,38,22,56,123,2617,2900,81900,7822,1256,6
83867257,338,294,518,621,29051,29837,1073865,11120,13460,55
84016585,171,330,558,206,13567,15158,554233,69878,3705,44
84043618,56,44,126,52,3812,4005,158798,6593,1417,9
84133761,9,36,60,19,1126,1596,41986,0,120,5
84354431,137,179,569,69,12059,13242,382311,26455,2059,36
84366803,131,91,153,187,7495,8588,461622,5628,3693,17
84399197,52,56,123,41,3923,4298,150475,15760,1032,11
84429681,1698,1341,3229,3071,146141,158220,5289403,183729,64252,321
84607700,33,41,106,11,2346,2760,109718,20777,305,9
84646430,38,42,42,98,3465,2919,97837,53,1475,8
84663645,95,95,185,118,7316,7822,235305,6151,2269,15
84694380,68,25,45,65,4195,4448,135161,0,1518,7
84772440,1611,1736,4420,3097,168971,189139,5963695,381618,76565,365
84853828,1106,1933,4855,970,110521,135447,3449151,377041,23599,345
84867383,50,59,187,84,5313,6607,217678,8413,2272,14
84940352,19,40,81,10,1515,1750,51835,0,279,5
85008179,703,1440,3209,714,75475,91285,2085200,311084,13658,280
85312703,50,118,215,86,4147,5095,212195,5272,657,15
85338169,72,28,83,218,5917,7199,197951,4188,2988,10
85367644,356,315,477,716,28185,31027,981640,31993,11868,64
85375207,373,734,1372,277,28600,35960,1241118,139726,7428,90
85395195,240,396,898,296,22042,25773,723644,43823,6194,65
85417034,442,679,1698,459,43512,50102,1253431,104170,10831,135
85485252,152,303,749,119,16460,19254,449757,17366,2689,59
85699732,23,43,114,10,2303,2742,82188,1729,584,6
85712634,24,60,103,9,2421,2908,53673,5540,379,9
85805514,419,923,1821,251,44078,50531,1239401,290807,9158,161
85856645,107,277,610,42,10049,13349,388731,16847,1525,34
85898221,32,80,168,31,3167,4176,99037,4527,392,12
85937380,2356,1299,2935,4429,178196,185893,6848811,118824,89068,335
85956459,221,105,268,314,16161,16949,550982,505,9203,30
86040272,337,906,1775,164,32819,43359,1402696,52218,8073,115
86046587,61,47,58,64,3183,4027,145087,6237,1287,10
86047456,222,207,459,444,14003,16207,535615,28319,4513,37
86073338,110,146,359,69,8644,10245,239379,11771,1507,25
86131091,139,282,538,110,12363,14772,425295,29863,2456,45
86169030,176,274,729,148,16524,20035,536734,5830,3941,50
86356342,101,63,163,124,6105,6357,244333,2214,2930,11
86568392,203,111,293,305,15405,15156,610692,9416,7289,28
86576108,374,310,575,708,24428,26956,1171010,50261,13571,53
86664345,73,149,395,35,7286,8374,264256,23652,1000,27
86677637,36,61,147,14,2677,3022,91694,2946,473,10
86698277,2243,1900,4768,3025,171607,191466,6144441,198827,69032,408
86700461,1939,1437,2508,2883,135662,144983,5728995,54964,60483,272
86715063,52,12,63,51,2341,2299,69152,4631,572,5
86715121,100,52,109,163,6566,6516,283670,1050,3283,12
86715129,377,595,1306,413,44450,48045,1473050,203365,14503,115
86721381,49,37,69,93,3550,3696,190881,3616,2478,7
86722079,14,20,62,12,2357,2149,50414,11920,523,7
86723143,524,718,1337,675,46326,52767,1775550,123592,20721,118
86725175,3403,1124,3489,6032,241816,236527,8793495,144669,130157,383
86726887,1642,1495,4588,2458,131981,153706,4782940,339882,45479,351
86727555,761,1705,3533,607,77498,96991,2504491,500974,12326,289
86729033,90,124,212,250,9402,10101,314510,5549,4593,23
86733921,46,105,187,48,4272,5207,135193,284,703,15
86736151,19,35,49,38,2138,2467,69415,2048,850,6
86738694,1230,707,1638,1548,96926,98903,3687627,13787,50021,177
86741086,14,48,56,17,1775,1985,59785,1068,259,8
86741304,62,124,240,87,6713,7322,184432,716,1624,20
86741690,150,323,822,69,13466,17495,497361,122048,2723,50
86743032,342,345,650,638,27999,30402,1137961,147586,12880,58
86743641,228,377,701,326,22343,24188,800981,42330,7992,60
86745912,1985,942,2604,4415,160122,158007,5878204,285222,80215,277
86747351,29,75,112,23,2246,2569,70108,1477,177,10
86748852,84,108,136,137,7107,8048,246036,3782,2430,20
86750028,120,336,654,52,13491,17318,386431,33689,1771,55
86750146,115,164,253,157,8304,10304,400514,11259,4051,22
86750262,364,217,464,680,26058,26885,1095749,5626,13423,51
86750861,19,24,35,61,1725,2003,46639,2094,553,5
86751819,1183,704,1471,2264,85231,87734,3078360,323778,42592,168
86751974,38,26,73,17,1695,2172,124606,1335,535,5
86753449,13,28,63,53,1321,1703,47275,1850,261,5
86755875,72,151,362,80,7811,10422,277317,13932,2093,30
86759880,26,52,112,17,2355,2676,68965,22863,416,8
86759987,149,180,395,200,13645,17381,454514,29556,4405,35
86761682,1595,786,2133,2795,112955,121056,4141313,56868,58964,206
86761836,165,416,1057,119,19417,23770,505057,29364,2780,76
86761912,92,88,104,284,9082,9497,281025,1149,3913,19
86765434,208,132,249,676,17652,18936,582857,1185,6781,35
86772934,500,1015,2572,400,51745,64655,1569455,179313,8717,197
86780673,310,448,1122,203,23110,28650,775019,46660,4691,79
86785083,1223,1468,3680,1859,120273,141256,3971868,292230,45743,313
86786206,16,53,117,22,2545,2820,54524,3715,312,10
86793739,1079,601,1390,1941,78243,83547,2944812,81804,38425,151
86799300,1834,1250,3340,2520,145498,154350,5993257,165773,73669,290
86802544,68,56,226,83,5524,6320,146366,23200,825,17
86802844,884,876,2482,1032,83868,93625,2871584,201066,34921,197
86809886,485,200,632,772,30827,31001,1028726,4375,13101,55
86811043,521,702,1361,922,53869,58821,1680147,171224,21039,130
86817084,53,32,70,119,2753,3116,142975,2795,2001,5
86817707,439,288,462,371,24844,29450,1181719,14772,13357,46
86822085,2156,1109,2738,4437,173685,167360,5867051,199469,88506,302
86824794,52,127,250,64,4606,6304,271144,4670,1193,17
86828698,73,104,226,73,5948,7244,251477,12480,1660,20
86834919,71,108,220,132,7284,8378,290450,15142,2937,19
86840554,113,43,86,173,7038,7661,293005,7345,3327,12
86841653,46,131,194,34,4047,5122,147644,17996,884,16
86845964,21,87,107,21,1958,2432,49623,59,167,9
86849243,368,184,433,703,23028,23690,872556,1631,8897,41
86850560,111,161,240,147,10503,10575,304560,8158,2850,29
86861614,186,277,814,154,15061,19687,533170,20942,2451,57
86870856,1087,1140,2761,1740,108462,126296,3492173,129557,45014,256
86872602,239,115,225,266,10901,12127,630128,1362,6169,20
86874930,360,242,464,813,21190,24117,962595,23500,12447,41
86878488,58,86,196,29,4855,5784,142803,7590,994,18
86887653,82,69,151,105,5036,5531,269052,11337,2452,10
86891180,22,33,95,6,1565,2107,51418,12112,159,6
86894490,295,367,1101,189,22980,28433,700024,49823,3474,78
86896635,478,225,726,1032,35879,37457,1291045,29323,18436,69
86915637,97,61,117,130,4612,5376,233408,160,1988,9
86919603,50,113,208,132,4204,5042,192843,6468,696,15
86937884,40,132,199,22,4549,5147,144539,12620,816,16
86940305,191,401,886,169,19319,22102,490396,16486,2885,67
86953414,542,1115,2463,800,55456,66317,1695896,54875,11149,189
86953944,92,104,168,176,8023,9295,340034,5881,3736,17
86958903,124,134,391,222,9737,11136,396990,13761,3689,23
86964173,274,118,303,623,17756,16872,613822,2852,7614,30
86974263,689,1359,2823,450,60188,74584,1858514,521960,9086,235
86975889,165,188,423,186,13792,15718,502404,15822,4424,36
86979104,225,97,268,681,12800,13264,547330,29277,6224,23
86985308,289,124,392,621,24927,24326,722108,16086,11255,42
86992358,279,260,450,346,16371,17268,661040,30551,5743,39
86992393,46,97,205,33,4120,4766,119897,12694,625,14
87012746,1384,1853,5075,3466,168398,197372,5213989,419111,72662,427
87039091,123,263,384,183,13164,13957,467945,32119,5177,36
87040694,320,162,448,460,28160,27723,816350,37977,12617,54
87063175,1256,1331,3692,1684,132500,145423,4580175,239857,57952,306
87084462,77,124,224,88,5593,6925,208144,10977,1581,16
87131760,100,62,107,101,4494,4053,334206,10632,2491,8
87177591,623,566,1328,1234,58440,64560,1722422,12175,20846,144
87196890,697,1219,2764,480,65969,79885,1960350,289575,16876,223
87197791,760,1327,2772,637,67603,78823,2276335,199820,16399,220
87213666,54,76,301,13,4984,6317,169505,4288,788,17
87276347,1422,1043,4067,2319,131654,147519,4546594,241918,56564,321
87278757,958,1856,4936,1298,103598,120067,3063642,357009,23777,347
87285329,2656,1208,3058,5470,210035,207205,7506983,162062,105554,374
87293485,161,155,305,436,18142,17531,517919,11343,8300,38
87307430,81,176,382,85,8147,9916,236080,14178,1279,32
87352234,163,92,236,214,13168,13193,459966,63114,5969,25
87360406,422,389,824,641,30443,32363,1215544,80554,14921,75
87382579,737,1618,3576,789,84846,98267,2547758,213078,19069,280
87394977,86,113,296,326,10351,12165,347438,27874,4439,28
87419473,26,42,158,35,3354,3929,65500,7102,485,12
87423323,186,507,1036,132,21642,24453,630654,34655,3331,77
87440120,195,180,316,362,16741,18376,615120,6096,8114,33
87442297,249,367,769,129,15637,18804,640666,99366,3747,53
87586992,2551,1361,2876,4829,187202,190754,7331421,68474,100071,332
87758426,218,101,276,360,14559,13316,522527,8351,6479,24
87776861,83,118,191,71,6506,7302,233763,19223,1878,20
87859302,111,141,253,145,7666,9999,341481,7159,2540,22
87899141,80,146,376,35,9774,10923,244796,99882,1375,37
87932136,66,236,415,61,8531,10738,290311,105617,2013,30
87939207,32,74,151,16,2961,3867,122316,6505,948,9
87967499,16,39,55,18,1462,1814,56152,1459,499,5
88153289,483,516,1071,734,35582,39316,1364237,24850,12658,90
88171564,74,188,239,111,7898,9437,271002,14232,2363,24
88271237,679,453,1215,1206,55349,57451,1990758,62378,24334,107
88296836,114,85,142,324,7562,7630,273344,7797,3074,15
88358606,75,89,84,132,4563,4968,206643,1087,1822,12
88508515,198,127,278,688,16326,17048,509901,32868,8032,32
88521435,57,147,301,86,6794,8495,209372,31773,1578,21
88553213,179,324,798,119,18621,21898,537866,62821,4584,65
88585077,231,127,345,489,16116,16836,774152,1354,6801,33
88655279,36,56,86,58,4090,3940,102342,1981,1510,9
88719902,436,447,893,569,31771,35260,1433855,8347,13561,74
88752648,80,42,118,104,2846,3393,200603,2368,1309,6
88826062,881,492,1039,1251,59753,64308,2367527,59438,29432,108
88933594,912,995,2556,1486,82999,93977,3438985,93371,34439,206
88971114,62,135,203,58,6386,6961,192160,6576,1862,20
89001276,479,462,874,719,35063,38895,1269686,30658,14582,77
89038430,313,317,811,373,28232,32726,1008787,35573,11948,72
89077048,164,138,208,248,9525,10813,354164,12147,3310,22
89091220,111,33,139,200,5745,6110,277617,8569,2337,11
89117038,1352,1327,4867,825,99979,134866,4379312,224630,22463,319
89128606,103,72,150,68,5862,7411,203259,23229,1430,14
89163371,27,94,115,8,3183,3546,85447,3281,582,13
89166519,506,822,1825,291,39650,47926,1211543,136244,6349,139
89208003,4,32,44,8,1122,1331,28630,22778,132,6
89217927,122,171,374,119,11332,13222,370378,20585,3528,32
89235203,49,95,197,78,5421,6340,162181,11600,1728,15
89246836,127,143,386,171,12671,13085,399178,32605,3689,31
89249333,450,727,1943,367,38241,48642,1243847,196098,7436,137
89268488,151,229,545,89,10471,14135,354190,16684,1784,37
89269794,1368,1157,3037,2991,110104,118317,4312893,172830,50332,239
89296893,31,56,160,35,3078,3663,102865,7710,381,11
89327623,59,81,152,48,4132,4996,171138,1838,930,13
89330493,39,47,140,44,3379,4328,97493,12120,385,14
89347714,25,36,135,13,1756,2138,49119,46208,171,6
89359927,16,61,131,21,2437,2745,66494,11509,247,9
89393700,53,56,96,223,6002,6904,166859,2905,2632,15
89399750,40,135,212,22,4929,6570,196782,11518,1013,20
89415289,24,35,77,50,2449,3193,67161,335,818,6
89423756,1038,1857,4971,1071,95815,128790,3516357,353822,22402,328
89428883,31,69,163,20,3267,3829,74737,6472,565,12
89438610,28,33,82,17,1599,2061,89296,0,411,5
89453814,85,106,189,150,5884,7146,238461,4398,2001,17
89550641,1545,1624,3321,3205,126908,141276,5085318,177809,53438,314
89598554,840,1487,3705,791,77939,97571,2569337,288807,13365,274
89603649,359,782,1733,290,39215,43478,1156404,213381,7742,137
89625472,97,130,254,176,9476,10022,289265,42996,3697,21
89654154,165,101,157,245,10281,11226,419224,6868,5612,21
89774212,91,41,111,101,6717,6627,265339,1176,2562,13
89871557,2467,1270,3240,5357,189107,191408,6798308,99830,100902,327
89884694,52,36,75,90,3426,3351,118415,1377,1351,7
89891816,13,35,134,16,1595,2291,52442,12599,186,6
89945143,88,67,139,162,7253,6649,249146,2736,3116,15
89972122,524,287,827,591,32274,35087,1225210,107111,12581,66
90031225,30,64,109,33,2609,2877,75533,5720,610,9
90125566,401,970,2097,270,36965,45363,1399350,246212,5745,150
90180269,98,300,557,71,9660,12049,311541,25433,1276,40
90180366,511,619,1493,690,44273,49426,1784722,142018,17047,121
90199779,12,34,40,81,2691,2952,72043,3115,887,8
90312938,85,95,153,69,4467,5685,185181,919,960,13
90324740,271,364,714,588,24213,29416,910165,40750,10772,57
90373262,155,244,641,42,12907,16406,399092,80780,1974,47
90423751,864,1274,3147,1303,76707,93566,2537359,351773,17533,253
90547237,568,754,1645,683,54857,64197,1914769,109217,20698,139
90882159,2180,1345,3157,3727,164519,173347,6269123,86713,84675,313
90892734,1545,612,2152,3567,120956,120390,4000695,223829,57495,216
90934656,9,60,73,2,1143,1376,47883,1068,144,5
91019997,109,180,422,61,9031,10479,288525,25273,1812,31
91048330,151,142,474,369,15272,16423,476687,34956,5769,37
91064780,823,2224,4126,1060,83776,98753,2799627,353728,14525,309
91191397,92,104,132,316,9999,9584,329665,4581,4769,21
91191651,27,58,112,23,3061,3395,97030,6434,648,10
91248405,171,50,208,178,8869,8590,397602,3807,4293,14
91265304,29,53,120,95,3292,3559,93134,14420,1008,9
91355855,179,587,983,157,19345,22936,642137,100531,3178,77
91364275,806,468,853,1754,57080,58964,2073059,73344,27628,108
91369376,1155,745,1793,1832,92301,94580,3004667,95784,40471,182
91378736,33,46,138,16,2310,2732,87057,24587,264,9
91380904,308,184,374,579,23436,25141,868355,15398,14553,45
91398391,74,58,110,201,3859,3822,208309,5028,2026,8
91406909,64,15,51,77,3020,3170,116089,0,1176,5
91443418,1154,1986,5236,1142,110997,133353,3193984,453235,21927,381
91449910,147,65,193,306,11985,11566,400580,5517,6423,19
91460772,996,2139,4556,910,92097,111322,3252264,332536,15541,336
91484831,50,106,224,40,3803,5343,157107,5048,504,15
91494949,31,30,29,98,3183,3483,92844,522,1287,7
91516368,80,165,322,37,6548,8161,219693,2277,703,29
91539960,229,148,232,303,13933,14852,647128,4283,7511,26
91628869,32,55,85,10,2625,3124,102016,10079,805,7
91644707,865,677,1734,1595,71678,78312,2755999,112979,35356,149
91654584,806,1934,3441,945,77836,98388,2700117,182521,16036,282
91663166,20,25,40,152,2126,2593,80425,0,1193,5
91698091,355,673,1541,1021,49612,56318,1374361,162114,22231,119
91701543,88,166,310,89,8297,9648,299659,35266,2387,27
91730177,196,439,874,250,19287,23822,632750,116800,4748,63
91735466,31,94,111,36,4084,4321,144738,9401,1247,11
91932652,556,561,1404,976,50476,60081,1705462,94846,20343,122
91971075,314,173,372,468,21708,20427,917639,4074,11256,41
92015870,23,55,89,16,2282,2696,77894,8839,410,8
92028391,308,728,1204,210,23098,30257,937408,253264,4226,79
92068411,57,40,79,101,3300,2668,222306,7697,2070,6
92071256,60,55,63,99,3747,4127,196179,448,1921,8
92104713,70,88,161,89,6559,7363,207399,24743,2502,16
92127891,26,68,127,107,3101,3634,105453,35453,777,11
92157386,106,138,280,94,9169,10381,342535,17358,3624,22
92164306,36,25,53,131,2567,2438,104761,0,1051,5
92214321,32,44,69,99,3811,4090,125361,1750,1930,8
92214768,151,130,251,280,9696,11591,454206,7806,4536,22
92231506,587,520,1358,894,50022,56940,1746223,172021,19786,122
92241448,27,51,85,16,3839,4144,106380,1538,1025,12
92253768,313,661,1337,295,25140,34315,932856,74291,4038,89
92266340,62,147,247,35,5106,6551,199373,13906,1241,20
92367063,1068,1749,3510,1391,121830,141539,4061668,195902,50660,302
92393372,57,107,151,108,4703,5741,179331,14837,1304,16
92404683,278,153,365,619,19124,17564,651710,12496,7762,35
92423451,1367,1257,3935,2310,131937,152018,4156142,413709,51083,317
92477990,1198,655,1370,2076,69019,75426,3139741,40711,34937,135
92536008,211,191,344,285,12492,13904,460242,4907,4659,27
92584073,51,67,123,131,3892,4494,169171,5780,1452,10
92590479,673,608,1785,1158,60466,71385,2092453,55540,24588,145
92620439,21,43,124,9,1921,2479,63037,2241,226,7
92689048,51,75,161,11,2803,3433,122539,2283,610,8
92689594,53,134,270,47,4754,5968,202905,15648,929,18
92706637,884,595,1157,1548,65763,70556,2663475,79199,32845,121
92775287,62,50,128,25,3661,4276,162617,4356,1558,9
92847434,1754,1800,4528,2386,149904,169125,5595027,174147,59553,371
92897724,102,199,470,232,12143,14881,389532,36541,3829,35
92949094,489,1159,2206,526,43515,50715,1523034,392796,8881,161
92968238,353,631,1455,509,36239,43042,1310855,55418,12189,112
92997975,77,114,253,47,6253,7346,207328,29863,1635,19
93003633,165,324,628,195,19182,22275,725570,60825,8444,52
93050220,152,89,128,149,8310,9045,354402,66702,4551,17
93119769,1368,882,1519,2018,95233,96903,3598989,64759,42949,171
93167925,174,59,152,305,11010,11280,433641,5914,5414,19
93221092,65,126,257,89,4785,6275,187798,7744,943,17
93258228,54,27,58,42,3127,3295,100678,0,833,6
93289364,443,507,1357,577,41053,46276,1437655,69579,14701,112
93300465,220,151,235,263,11137,11955,628619,48623,6455,22
93430669,94,158,336,46,6638,7525,274268,17165,1478,16
93460458,68,114,307,45,6222,8155,225110,20279,1031,21
93473848,762,904,1863,1296,61212,68819,2191636,138657,22019,164
93552791,742,1778,3988,514,76562,92791,2552152,345741,13679,274
93616251,838,1119,2528,1568,85978,100262,3164572,204674,38406,208
93661201,242,232,567,290,19125,21339,706538,36237,7005,43
93680381,98,189,386,56,8023,9376,225632,4964,1173,28
93731349,54,40,44,222,3630,3632,190510,5782,2194,7
93800190,18,57,111,6,2114,2570,67778,4605,731,7
93844612,100,276,607,101,12009,14671,335136,25578,2454,42
93845249,40,51,122,54,4500,4762,98704,5315,1372,12
93881933,34,36,110,9,1801,2188,63808,5268,204,6
93956236,80,102,276,80,4278,5924,205548,7993,615,16
94004717,2724,1311,3000,4927,213075,205544,7324868,130357,116161,333
94006137,104,51,155,225,8827,8625,267950,7799,3357,16
94008683,26,70,73,37,2547,3344,85355,9960,351,9
94036444,41,48,77,98,3373,3876,150584,747,1540,9
94049589,894,1791,4139,695,78791,96770,2920838,321165,14547,277
94054712,1171,729,1325,1670,69160,77480,3406936,29472,35230,134
94083382,44,87,119,90,4300,4315,139550,1250,1642,12
94105983,10,42,43,7,1019,1318,40295,4464,101,5
94120026,79,67,106,108,6895,7352,239997,1008,2649,14
94121743,48,38,113,17,2099,2327,87748,16567,213,7
94155156,1123,1929,4788,1285,101486,124534,3280352,773549,21646,343
94279444,31,57,95,39,1635,2134,62886,17348,286,6
94281932,906,527,747,1933,61831,63059,2706099,12211,34519,103
94296097,976,1773,4422,599,94640,112750,2679970,507409,14409,329
94338967,1198,890,2898,1735,103023,115528,3872181,225394,43765,237
94364925,86,99,224,60,7638,8735,247578,4787,2607,21
94374420,104,134,325,176,8644,9402,353147,9117,3714,22
94439767,132,282,440,179,12276,15160,496038,55241,4524,34
94660986,15,23,46,52,1624,1928,65324,6499,597,5
94738847,1455,1539,3801,2363,132390,150899,4764541,258936,51743,317
94786276,914,474,1086,1056,54797,59934,2506968,39674,25833,106
94923783,488,1157,2098,510,50774,60259,1605015,170165,7838,187
94979043,127,145,139,128,9186,9712,272271,18184,2563,25
95145869,335,539,857,377,28362,32446,1136951,40785,10294,81
95219538,447,406,860,565,28275,33844,1088246,41622,8572,66
95430068,1526,899,2016,2551,112919,115899,4411486,268027,61106,208
95439451,29,29,42,50,4047,3650,114685,1455,2451,7
95498699,48,97,145,34,3512,4133,130893,6182,878,11
