,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,cluster
95560,0.4927937915742794,0.2777777777777778,0.5597788527988944,0.3455971049457178,0.46974607596292917,0.4640926124197002,0.4482054348158649,0.0,0.3249956296253132,0.2857142857142857,0.0,0.09276018099547512,0.006993006993006993,0.11521609128392866,0.19804511022792895,0.24193548387096775,0.098806860551827,0.0,0.0425531914893617,0.05405405405405406,0.10030395136778116,2
431070,0.5676274944567627,0.5476190476190477,0.5888044229440222,0.18921247630535934,0.36278688900963496,0.3499235240134598,0.3270554845702979,0.34241009581242643,0.30983042946215256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
883737,0.22505543237250555,0.7111111111111111,0.5713890808569455,0.03256936067551267,0.13880109283762787,0.17055674518201286,0.1688069717397734,0.12693342025914758,0.07456441932288328,0.14285714285714285,0.42857142857142855,0.14027149321266968,0.5104895104895105,0.1386433359239675,0.03159074696830735,0.06451612903225806,0.02162565249813572,0.0,0.23404255319148937,0.05405405405405406,0.0,7
2503633,0.24488790342448885,0.7962962962962963,0.4727021423635108,0.22597507036590275,0.16455063302441028,0.16174161313347601,0.20182690313741888,0.1697769809578138,0.07111085212594448,0.14285714285714285,0.14285714285714285,0.10180995475113122,0.0979020979020979,0.1591231356516889,0.020143347260436834,0.03225806451612903,0.02274422073079791,0.2,0.1276595744680851,0.08108108108108109,0.0060790273556231,5
3505786,0.36183481152993346,0.6388888888888888,0.6976503109882517,0.32976477683956584,0.36508276637917175,0.39894941113490356,0.47812076122097236,0.5761755358161518,0.343963055765981,0.14285714285714285,0.062111801242236024,0.3257918552036199,0.04895104895104895,0.24447110012359663,0.09903529331838717,0.08064516129032258,0.27703206562266963,0.0,0.1276595744680851,0.08108108108108109,0.12462006079027356,0
4022514,0.16297117516629714,0.5,0.8113337940566692,0.05910735826296744,0.21240692130497668,0.25203426124196987,0.20785493559605522,0.03952408116697905,0.18722685158207564,0.14285714285714285,0.2608695652173913,0.16289592760180996,0.43356643356643354,0.09123824670619787,0.019277149359692925,0.04838709677419355,0.09619686800894854,0.0,0.1276595744680851,0.16216216216216217,0.00911854103343465,7
5178461,0.2555005969640117,0.5940170940170941,0.6915102865344748,0.23494478983019396,0.17222906733808324,0.27534178883215277,0.21330363720091725,0.025388188537076157,0.11054134374453704,0.7142857142857143,0.8260869565217391,0.26018099547511314,0.6503496503496503,0.201658535916292,0.13319915758008086,0.1774193548387097,0.029082774049217,0.0,0.40425531914893614,0.43243243243243246,0.0121580547112462,3
5571849,0.27765459472776555,0.5790123456790124,0.3862704445980191,0.09006835544833133,0.18740736772557634,0.1437187723054961,0.14067902052971348,0.38200635645016706,0.11070450439951053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
6359015,0.3798095734968045,0.6830065359477123,0.35318508882474914,0.4802384162350104,0.4682216809153618,0.447808288197506,0.5915335703800046,0.0,0.6057819200170016,0.0,0.006211180124223602,0.15384615384615385,0.0,0.24710298157745053,0.39412004483847957,0.2903225806451613,0.5108128262490679,0.4,0.14893617021276595,0.16216216216216217,0.7781155015197568,1
7353870,0.38608647450110867,0.5555555555555556,0.1969592259847962,0.209891435464415,0.32249424117426473,0.31453426124197,0.4135026465278982,0.0048895770515850374,0.2200629333954898,0.0,0.062111801242236024,0.11990950226244344,0.0979020979020979,0.12689206202999043,0.005851081898162302,0.0,0.0965697240865026,0.0,0.0851063829787234,0.02702702702702703,0.0182370820668693,5
7583514,0.3414634146341463,0.9888888888888889,0.5771941948859711,0.13751507840772015,0.26094176889698395,0.2723768736616702,0.2968484391094612,0.23391736614782815,0.2167589301322767,0.0,0.006211180124223602,0.06787330316742081,0.0,0.07389798459404956,0.03527633411460987,0.04838709677419355,0.04809843400447427,0.0,0.06382978723404255,0.08108108108108109,0.015197568389057751,0
8712306,0.28754813863928114,0.49415204678362584,0.4574255264976541,0.28417243349628596,0.40382267609882905,0.44417615237236546,0.4502856403652805,0.27394498796906697,0.3867122207943961,0.0,0.043478260869565216,0.7330316742081447,0.11188811188811189,0.5931328386134761,0.5585362953904685,0.6774193548387096,0.4231916480238628,0.8,0.425531914893617,0.2972972972972973,0.06382978723404255,6
9001808,0.5768662232076865,0.7962962962962963,0.66620594333103,0.36670687575392047,0.489098408956983,0.5349571734475375,0.5853548591068096,0.7148561649417324,0.5033506205932056,0.0,0.0,0.03619909502262444,0.0,0.08396378126075472,0.09051768062773871,0.11290322580645161,0.10439970171513796,0.2,0.0,0.08108108108108109,0.1276595744680851,0
