,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,courier_kills,observer_kills,sentry_kills,ancient_kills
31447369,4.352941176470588,5.686274509803922,14.882352941176471,4.2745098039215685,350.5882352941176,402.2352941176471,13063.333333333334,508.47058823529414,90.80392156862744,7.0,124.0,329.0,102.0,27.485943080000006,36106.0,16.0,869.0,1.0,32.0,20.0,36.0
31966955,4.142857142857143,8.0,11.142857142857142,0.7142857142857143,301.2857142857143,299.57142857142856,7174.142857142857,906.2857142857143,48.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32454083,6.538461538461538,5.846153846153846,11.923076923076923,12.076923076923077,421.2307692307692,474.3076923076923,17947.69230769231,393.46153846153845,220.46153846153845,0.0,0.0,57.0,0.0,7.856270189999999,35203.0,19.0,1026.0,0.0,1.0,1.0,309.0
32531763,8.75,7.583333333333333,13.75,12.75,435.6666666666667,532.8333333333334,19121.916666666668,87.0,153.41666666666666,2.0,1.0,40.0,2.0,7.22893375,16562.0,11.0,371.0,1.0,6.0,2.0,29.0
32936165,5.421052631578948,5.0,9.719298245614034,6.842105263157895,459.9298245614035,471.0,10971.61403508772,123.75438596491227,181.3859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34695693,6.357142857142857,5.357142857142857,9.571428571428571,14.0,490.57142857142856,549.8571428571429,26681.714285714286,41.785714285714285,243.42857142857142,0.0,2.0,82.0,1.0,8.556392660000002,21494.0,9.0,672.0,0.0,14.0,7.0,85.0
34698629,4.416666666666667,8.083333333333334,16.75,2.6666666666666665,307.0,386.6666666666667,13492.25,893.75,59.666666666666664,1.0,12.0,66.0,4.0,7.17439367,4037.0,0.0,47.0,0.0,4.0,0.0,0.0
35082803,9.5,4.2,12.5,12.9,609.9,692.1,21132.2,22.0,234.3,0.0,6.0,57.0,2.0,5.720595529999999,39978.0,21.0,656.0,0.0,10.0,3.0,167.0
35125459,6.153846153846154,6.653846153846154,16.115384615384617,3.5,340.4230769230769,431.3076923076923,15739.846153846154,1347.2307692307693,58.34615384615385,3.0,25.0,80.0,13.0,12.94918818,11224.0,10.0,412.0,1.0,12.0,9.0,8.0
35334936,2.652173913043478,7.956521739130435,10.217391304347826,2.3043478260869565,237.69565217391303,277.39130434782606,8352.478260869566,1391.391304347826,36.69565217391305,4.0,138.0,152.0,127.0,15.25913922,2194.0,4.0,113.0,5.0,9.0,27.0,16.0
35420814,5.875,3.75,5.125,6.375,462.875,509.875,12945.375,0.0,171.625,0.0,1.0,17.0,1.0,4.10001327,30239.0,13.0,461.0,1.0,3.0,2.0,52.0
35533647,4.5,4.6,5.5,11.8,401.8,449.5,13853.5,32.0,196.7,0.0,3.0,47.0,0.0,5.72813441,17942.0,11.0,362.0,1.0,1.0,3.0,0.0
35783338,2.8,9.0,8.8,0.8,247.2,301.6,6113.4,569.8,14.2,0.0,17.0,26.0,22.0,3.6696969500000005,19.0,0.0,4.0,0.0,4.0,3.0,0.0
36283165,2.2222222222222223,5.222222222222222,9.0,2.7777777777777777,251.0,265.77777777777777,7044.444444444444,0.0,68.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36327727,6.75,6.25,9.75,11.75,441.625,499.375,18093.875,0.0,187.75,1.0,14.0,54.0,13.0,5.4000553,19324.0,9.0,354.0,0.0,5.0,3.0,70.0
36728888,7.416666666666667,4.25,8.833333333333334,18.666666666666668,542.9166666666666,533.75,17152.416666666668,1483.5,235.08333333333334,1.0,0.0,20.0,0.0,6.6766742699999995,73078.0,29.0,984.0,2.0,4.0,2.0,194.0
37160148,4.384615384615385,8.307692307692308,13.076923076923077,12.23076923076923,408.0,466.15384615384613,20348.76923076923,686.6923076923077,160.69230769230768,1.0,12.0,61.0,26.0,6.75374803,19696.0,9.0,352.0,2.0,2.0,12.0,3.0
37399177,3.8125,8.03125,16.46875,3.1875,327.3125,413.1875,11903.125,1745.75,61.875,3.0,137.0,224.0,142.0,18.082120030000006,5131.0,2.0,181.0,3.0,26.0,16.0,4.0
38602394,4.0,10.0,14.125,4.1875,282.625,375.4375,10034.125,1007.5625,53.125,1.0,100.0,83.0,66.0,7.149656520000001,6139.0,5.0,145.0,1.0,19.0,32.0,9.0
39120272,4.764705882352941,5.9411764705882355,10.764705882352942,3.235294117647059,332.11764705882354,339.88235294117646,8605.058823529413,899.3529411764706,52.23529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
