,ADG,G,KDA,X
ADG,1.0,0.9817777390338117,0.952792626308239,0.9791629910592177
G,0.9817777390338117,1.0,0.8896571234503359,0.986321368043029
KDA,0.952792626308239,0.8896571234503359,1.0,0.9183151753254764
X,0.9791629910592177,0.986321368043029,0.9183151753254764,1.0
