,ADG,G,KDA,X
ADG,1.0,0.8851385793247446,0.8705261968790563,0.8479806822465169
G,0.8851385793247446,1.0,0.6052665812081242,0.9942401347696451
KDA,0.8705261968790563,0.6052665812081242,1.0,0.5641286137575787
X,0.8479806822465169,0.9942401347696451,0.5641286137575787,1.0
