,ADG,G,KDA,X
ADG,1.0,0.9153918100670909,0.8546651355905747,0.8866117717368187
G,0.9153918100670909,1.0,0.5771240015529375,0.996820208552923
KDA,0.8546651355905747,0.5771240015529375,1.0,0.5271040451750412
X,0.8866117717368187,0.996820208552923,0.5271040451750412,1.0
