,ADG,G,KDA,X
ADG,1.0,0.912172417191847,0.8785418288087388,0.8751466758146687
G,0.912172417191847,1.0,0.688762584071239,0.9934657942389102
KDA,0.8785418288087388,0.688762584071239,1.0,0.6581731829118924
X,0.8751466758146687,0.9934657942389102,0.6581731829118924,1.0
