,ADG,G,KDA,X
ADG,1.0,0.916014640886422,0.8622436496498147,0.8748682576462763
G,0.916014640886422,1.0,0.5896980185145856,0.9953946022951184
KDA,0.8622436496498147,0.5896980185145856,1.0,0.5150767312698477
X,0.8748682576462763,0.9953946022951184,0.5150767312698477,1.0
