k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;1;0.750000;10;5475.181986
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,gpm,lh;-0,155789;1;3;0
assists,gpm,hh,kills;-0,160254;1;4;0
assists,hh,kills;-0,164366;1;3;0
assists,gpm,hd;-0,179686;1;3;0
denies,hd,hh;-0,199284;1;3;0
assists,deaths,gpm;-0,210545;1;3;0
denies,gpm,hh,kills;-0,212316;1;4;0
denies,gpm,hd,hh;-0,214230;1;4;0
denies,hh,kills,lh;-0,216929;1;4;0
denies,gpm,hh,kills,lh;-0,218131;1;5;0
denies,hh,kills;-0,220269;1;3;0
assists,gpm,xpm;-0,244148;1;3;0
gpm,hh,kills,lh;-0,246193;1;4;0
hh,kills,lh;-0,249514;1;3;0
denies,hh,lh;-0,260727;1;3;0
gpm,hd,hh;-0,261893;1;3;0
denies,gpm,hh,lh;-0,263671;1;4;0
assists,gpm,hh;-0,272018;1;3;0
deaths,gpm,hh;-0,284226;1;3;0
assists,gpm,kills;-0,298078;1;3;0
denies,gpm,kills,lh;-0,327213;1;4;0
gpm,kills,lh;-0,331952;1;3;0
denies,kills,lh;-0,333688;1;3;0
denies,gpm,hd;-0,339021;1;3;0
gpm,hh,kills;-0,353760;1;3;0
denies,gpm,kills;-0,359772;1;3;0
gpm,hh,lh;-0,372118;1;3;0
denies,gpm,hh;-0,393895;1;3;0
denies,gpm,lh;-0,445499;1;3;0
deaths,hh,kills,xpm;-0,580590;0;4;1
deaths,denies,gpm,hd,hh,xpm;-0,619123;0;6;1
deaths,denies,hd,hh,xpm;-0,620616;0;5;1
deaths,denies,hh,lh,xpm;-0,630246;0;5;1
deaths,denies,gpm,hh,lh,xpm;-0,630436;0;6;1
deaths,denies,kills,xpm;-0,633909;0;4;1
deaths,denies,lh,xpm;-0,635984;0;4;1
deaths,denies,gpm,lh,xpm;-0,636217;0;5;1
deaths,gpm,hh,kills,xpm;-0,639578;0;5;1
deaths,denies,gpm,hd,xpm;-0,642180;0;5;1
deaths,denies,hd,xpm;-0,643439;0;4;1
deaths,denies,hh,kills,xpm;-0,646937;0;5;1
deaths,denies,gpm,hh,kills,xpm;-0,650282;0;6;1
deaths,gpm,hh,lh,xpm;-0,651715;0;5;1
deaths,hh,lh,xpm;-0,651958;0;4;1
deaths,gpm,hd,hh,xpm;-0,657713;0;5;1
deaths,hd,hh,xpm;-0,658069;0;4;1
deaths,denies,hd,hh,kills;-0,658377;0;5;1
deaths,denies,gpm,hd,hh,kills;-0,659015;0;6;1
assists,deaths,denies,hh,kills,xpm;-0,664982;0;6;1
deaths,denies,gpm,hd,hh,lh;-0,666119;0;6;1
assists,deaths,denies,hh,lh,xpm;-0,667655;0;6;1
assists,deaths,denies,lh,xpm;-0,668193;0;5;1
assists,deaths,denies,kills,xpm;-0,668634;0;5;1
deaths,denies,hd,hh,lh;-0,668813;0;5;1
assists,deaths,denies,gpm,lh,xpm;-0,669654;0;6;1
assists,deaths,denies,gpm,kills,xpm;-0,670017;0;6;1
assists,deaths,denies,hd,hh,xpm;-0,670732;0;6;1
deaths,kills,xpm;-0,670931;0;3;1
deaths,denies,gpm,kills,xpm;-0,670972;0;5;1
gpm,lh,xpm;-0,673723;0;3;1
deaths,gpm,kills,xpm;-0,674803;0;4;1
deaths,hd,xpm;-0,674851;0;3;1
deaths,gpm,hd,xpm;-0,674978;0;4;1
deaths,denies,hd,kills;-0,675163;0;4;1
assists,deaths,denies,gpm,hd,xpm;-0,675962;0;6;1
assists,deaths,denies,hd,xpm;-0,676152;0;5;1
assists,deaths,hh,lh,xpm;-0,677672;0;5;1
denies,gpm,kills,xpm;-0,678495;0;4;1
assists,deaths,gpm,hh,lh,xpm;-0,679852;0;6;1
assists,deaths,denies,hd,hh,lh;-0,681738;0;6;1
assists,deaths,gpm,lh,xpm;-0,681983;0;5;1
assists,deaths,denies,gpm,hd,lh;-0,682328;0;6;1
assists,deaths,hd,hh,xpm;-0,682804;0;5;1
assists,deaths,denies,gpm,hd,kills;-0,683676;0;6;1
assists,deaths,denies,hd,kills;-0,683973;0;5;1
assists,deaths,gpm,hd,hh,xpm;-0,684098;0;6;1
assists,deaths,denies,hd,lh;-0,684339;0;5;1
assists,deaths,denies,hd,hh,kills;-0,684736;0;6;1
deaths,denies,gpm,hd,kills;-0,684786;0;5;1
denies,hh,kills,xpm;-0,685309;0;4;1
assists,deaths,hd,hh,lh;-0,688527;0;5;1
assists,deaths,gpm,hd,hh,lh;-0,690151;0;6;1
denies,gpm,hh,kills,xpm;-0,690849;0;5;1
hh,kills,xpm;-0,691217;0;3;1
