k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;variance;3;6;1;0.750000;10;0.611111
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,gpm,xpm;0,005021;1;3;0
assists,deaths,gpm,hh;0,004930;1;4;0
deaths,denies,gpm,hh,kills;0,004860;1;5;0
deaths,denies,gpm,hh,xpm;0,004837;1;5;0
deaths,gpm,hd;0,004811;1;3;0
assists,deaths,gpm,kills;0,004730;1;4;0
assists,deaths,gpm,xpm;0,004701;1;4;0
assists,gpm,hh,kills;0,004339;1;4;0
assists,gpm,hh,xpm;0,004311;1;4;0
gpm,hd,hh;0,004290;1;3;0
assists,deaths,gpm,hh,kills;0,004219;1;5;0
assists,deaths,gpm,hh,xpm;0,004197;1;5;0
deaths,gpm,hd,hh;0,004153;1;4;0
deaths,hh,kills;0,002433;1;3;0
deaths,hh,xpm;0,002395;1;3;0
deaths,gpm,hh;0,002018;1;3;0
deaths,gpm,hh,kills;0,001858;1;4;0
deaths,gpm,hh,xpm;0,001830;1;4;0
deaths,gpm,kills;0,001751;1;3;0
deaths,gpm,xpm;0,001713;1;3;0
gpm,hh,kills;0,001230;1;3;0
gpm,hh,xpm;0,001192;1;3;0
denies,hd,lh;-0,676184;0;3;1
assists,denies,hd,lh;-0,677008;0;4;1
assists,hd,lh;-0,677251;0;3;1
denies,lh,xpm;-0,679282;0;3;1
assists,denies,lh,xpm;-0,679332;0;4;1
assists,deaths,denies,hd,lh;-0,679488;0;5;1
deaths,denies,hd,lh;-0,679489;0;4;1
assists,denies,hd,hh,lh;-0,679800;0;5;1
denies,hd,hh,lh;-0,679880;0;4;1
assists,denies,gpm,hd,lh;-0,680209;0;5;1
assists,deaths,hd,lh;-0,680290;0;4;1
assists,lh,xpm;-0,680349;0;3;1
denies,gpm,hd,lh;-0,680391;0;4;1
deaths,hd,lh;-0,680559;0;3;1
assists,hd,hh,lh;-0,680681;0;4;1
hd,hh,lh;-0,681080;0;3;1
assists,gpm,hd,lh;-0,681192;0;4;1
assists,deaths,denies,lh,xpm;-0,681347;0;5;1
assists,deaths,denies,hd,hh,lh;-0,681401;0;6;1
assists,denies,hh,lh,xpm;-0,681659;0;5;1
assists,deaths,denies,gpm,hd,lh;-0,681742;0;6;1
gpm,hd,lh;-0,681762;0;3;1
deaths,denies,hd,hh,lh;-0,681785;0;5;1
deaths,denies,lh,xpm;-0,681813;0;4;1
assists,denies,gpm,hd,hh,lh;-0,682003;0;6;1
assists,denies,gpm,lh,xpm;-0,682068;0;5;1
deaths,denies,gpm,hd,lh;-0,682194;0;5;1
denies,hh,lh,xpm;-0,682203;0;4;1
assists,deaths,hd,hh,lh;-0,682426;0;5;1
denies,gpm,hd,hh,lh;-0,682507;0;5;1
assists,denies,hd,kills;-0,682530;0;4;1
assists,denies,hd,xpm;-0,682558;0;4;1
assists,deaths,lh,xpm;-0,682613;0;4;1
denies,gpm,lh,xpm;-0,682715;0;4;1
assists,deaths,gpm,hd,lh;-0,682835;0;5;1
assists,deaths,denies,hh,lh,xpm;-0,682950;0;6;1
assists,hh,lh,xpm;-0,683004;0;4;1
assists,gpm,hd,hh,lh;-0,683147;0;5;1
deaths,hd,hh,lh;-0,683162;0;4;1
assists,deaths,denies,gpm,lh,xpm;-0,683291;0;6;1
assists,gpm,lh,xpm;-0,683515;0;4;1
denies,hd,kills;-0,683545;0;3;1
assists,denies,gpm,hh,lh,xpm;-0,683552;0;6;1
denies,hd,xpm;-0,683583;0;3;1
deaths,denies,hh,lh,xpm;-0,683644;0;5;1
deaths,denies,gpm,hd,hh,lh;-0,683657;0;6;1
deaths,lh,xpm;-0,683657;0;3;1
deaths,gpm,hd,lh;-0,683673;0;4;1
assists,deaths,denies,hd,kills;-0,683905;0;5;1
assists,deaths,denies,hd,xpm;-0,683927;0;5;1
deaths,denies,gpm,lh,xpm;-0,684053;0;5;1
gpm,hd,hh,lh;-0,684064;0;4;1
hh,lh,xpm;-0,684178;0;3;1
assists,deaths,gpm,hd,hh,lh;-0,684190;0;6;1
assists,denies,hd,hh,kills;-0,684217;0;5;1
assists,denies,hd,hh,xpm;-0,684240;0;5;1
assists,deaths,hh,lh,xpm;-0,684284;0;5;1
denies,gpm,hh,lh,xpm;-0,684366;0;5;1
assists,hd,kills;-0,684613;0;3;1
assists,denies,gpm,hd,kills;-0,684626;0;5;1
assists,denies,gpm,hd,xpm;-0,684649;0;5;1
assists,hd,xpm;-0,684650;0;3;1
assists,deaths,gpm,lh,xpm;-0,684693;0;5;1
assists,denies,kills,xpm;-0,684853;0;4;1
gpm,lh,xpm;-0,684860;0;3;1
assists,gpm,hh,lh,xpm;-0,685006;0;5;1
deaths,denies,hd,kills;-0,685011;0;4;1
deaths,denies,hd,xpm;-0,685039;0;4;1
assists,deaths,denies,hd,hh,kills;-0,685082;0;6;1
assists,deaths,denies,hd,hh,xpm;-0,685101;0;6;1
deaths,gpm,hd,hh,lh;-0,685132;0;5;1
deaths,denies,gpm,hh,lh,xpm;-0,685206;0;6;1
denies,hd,hh,kills;-0,685401;0;4;1
assists,deaths,denies,gpm,hd,kills;-0,685423;0;6;1
denies,hd,hh,xpm;-0,685429;0;4;1
assists,deaths,denies,gpm,hd,xpm;-0,685442;0;6;1
deaths,hh,lh,xpm;-0,685485;0;4;1
assists,denies,gpm,hd,hh,kills;-0,685684;0;6;1
assists,denies,gpm,hd,hh,xpm;-0,685702;0;6;1
assists,deaths,gpm,hh,lh,xpm;-0,685739;0;6;1
assists,deaths,denies,kills,xpm;-0,685764;0;5;1
assists,deaths,hd,kills;-0,685811;0;4;1
assists,deaths,hd,xpm;-0,685839;0;4;1
denies,gpm,hd,kills;-0,685913;0;4;1
denies,gpm,hd,xpm;-0,685941;0;4;1
deaths,gpm,lh,xpm;-0,685996;0;4;1
assists,denies,hh,kills,xpm;-0,686076;0;5;1
assists,hd,hh,kills;-0,686202;0;4;1
deaths,denies,hd,hh,kills;-0,686202;0;5;1
deaths,denies,hd,hh,xpm;-0,686225;0;5;1
assists,hd,hh,xpm;-0,686230;0;4;1
gpm,hh,lh,xpm;-0,686387;0;4;1
assists,denies,gpm,kills,xpm;-0,686485;0;5;1
deaths,denies,gpm,hd,kills;-0,686611;0;5;1
assists,deaths,denies,hh,kills,xpm;-0,686631;0;6;1
deaths,denies,gpm,hd,xpm;-0,686634;0;5;1
denies,kills,xpm;-0,686643;0;3;1
assists,gpm,hd,kills;-0,686713;0;4;1
assists,gpm,hd,xpm;-0,686741;0;4;1
assists,deaths,hd,hh,kills;-0,686843;0;5;1
assists,deaths,hd,hh,xpm;-0,686865;0;5;1
denies,gpm,hd,hh,kills;-0,686924;0;5;1
denies,gpm,hd,hh,xpm;-0,686946;0;5;1
assists,deaths,denies,gpm,kills,xpm;-0,686972;0;6;1
deaths,gpm,hh,lh,xpm;-0,686991;0;5;1
assists,denies,gpm,hh,kills,xpm;-0,687232;0;6;1
assists,deaths,gpm,hd,kills;-0,687252;0;5;1
assists,deaths,gpm,hd,xpm;-0,687274;0;5;1
deaths,denies,kills,xpm;-0,687334;0;4;1
deaths,denies,gpm,hd,hh,kills;-0,687338;0;6;1
deaths,denies,gpm,hd,hh,xpm;-0,687356;0;6;1
assists,gpm,hd,hh,kills;-0,687564;0;5;1
assists,gpm,hd,hh,xpm;-0,687587;0;5;1
assists,kills,xpm;-0,687711;0;3;1
denies,hh,kills,xpm;-0,687725;0;4;1
assists,deaths,gpm,hd,hh,kills;-0,687871;0;6;1
assists,deaths,gpm,hd,hh,xpm;-0,687890;0;6;1
deaths,hd,kills;-0,687921;0;3;1
deaths,hd,xpm;-0,687958;0;3;1
deaths,denies,hh,kills,xpm;-0,688061;0;5;1
assists,deaths,kills,xpm;-0,688134;0;4;1
denies,gpm,kills,xpm;-0,688236;0;4;1
hd,hh,kills;-0,688442;0;3;1
deaths,denies,gpm,kills,xpm;-0,688470;0;5;1
hd,hh,xpm;-0,688479;0;3;1
assists,hh,kills,xpm;-0,688525;0;4;1
deaths,hd,hh,kills;-0,688683;0;4;1
assists,deaths,hh,kills,xpm;-0,688701;0;5;1
deaths,hd,hh,xpm;-0,688711;0;4;1
denies,gpm,hh,kills,xpm;-0,688783;0;5;1
deaths,denies,gpm,hh,kills,xpm;-0,688886;0;6;1
assists,gpm,kills,xpm;-0,689036;0;4;1
assists,deaths,gpm,kills,xpm;-0,689110;0;5;1
gpm,hd,kills;-0,689124;0;3;1
gpm,hd,xpm;-0,689161;0;3;1
deaths,gpm,hd,kills;-0,689194;0;4;1
deaths,gpm,hd,xpm;-0,689222;0;4;1
assists,deaths,gpm,hh,kills,xpm;-0,689420;0;6;1
assists,gpm,hh,kills,xpm;-0,689423;0;5;1
deaths,gpm,hd,hh,kills;-0,689549;0;5;1
deaths,gpm,hd,hh,xpm;-0,689572;0;5;1
gpm,hd,hh,kills;-0,689585;0;4;1
gpm,hd,hh,xpm;-0,689613;0;4;1
deaths,hh,kills,xpm;-0,691006;0;4;1
deaths,kills,xpm;-0,691019;0;3;1
deaths,gpm,hh,kills,xpm;-0,691408;0;5;1
deaths,gpm,kills,xpm;-0,691518;0;4;1
hh,kills,xpm;-0,691540;0;3;1
gpm,hh,kills,xpm;-0,691908;0;4;1
gpm,kills,xpm;-0,692221;0;3;1
assists,denies,hd,kills,lh;-1,085425;0;5;2
denies,hd,kills,lh;-1,085545;0;4;2
assists,hd,kills,lh;-1,086346;0;4;2
hd,kills,lh;-1,086812;0;3;2
assists,deaths,denies,hd,kills,lh;-1,087000;0;6;2
assists,denies,hd,hh,kills,lh;-1,087260;0;6;2
assists,denies,kills,lh,xpm;-1,087284;0;5;2
deaths,denies,hd,kills,lh;-1,087410;0;5;2
assists,denies,gpm,hd,kills,lh;-1,087601;0;6;2
denies,hd,hh,kills,lh;-1,087723;0;5;2
denies,kills,lh,xpm;-1,087868;0;4;2
