k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;3501.968414
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,denies,gpm,kills;-0,674199;0;4;1
assists,deaths,denies,hd,kills;-0,677097;0;5;1
deaths,gpm,hd;-0,681091;0;3;1
assists,deaths,hd,lh;-0,682210;0;4;1
assists,gpm,hh,lh;-0,683847;0;4;1
deaths,hd,xpm;-0,685854;0;3;1
deaths,lh,xpm;-0,691344;0;3;1
assists,hd,hh,lh;-0,692462;0;4;1
assists,hd,hh,xpm;-0,696026;0;4;1
assists,denies,hd,hh,kills;-0,696621;0;5;1
deaths,gpm,lh;-0,701926;0;3;1
assists,gpm,hd,hh;-0,704441;0;4;1
deaths,denies,kills,lh;-0,708649;0;4;1
assists,hh,kills,xpm;-0,709778;0;4;1
denies,hd,hh,xpm;-0,709860;0;4;1
assists,gpm,hh,kills;-0,713959;0;4;1
deaths,denies,hd,kills;-0,718448;0;4;1
assists,deaths,hd,kills;-0,720088;0;4;1
deaths,gpm,kills;-0,723643;0;3;1
denies,hh,kills,xpm;-0,725090;0;4;1
deaths,kills,xpm;-0,732247;0;3;1
denies,gpm,hh,xpm;-0,732660;0;4;1
assists,denies,hd,xpm;-0,733097;0;4;1
hd,hh,xpm;-0,735836;0;3;1
assists,hd,hh,kills;-0,740545;0;4;1
assists,denies,gpm,hd;-0,759835;0;4;1
assists,hd,xpm;-0,759892;0;3;1
deaths,denies,lh;-0,761105;0;3;1
deaths,hd,lh;-0,764803;0;3;1
assists,denies,kills,lh;-0,766156;0;4;1
assists,denies,kills,xpm;-0,768341;0;4;1
assists,denies,lh;-0,770740;0;3;1
denies,gpm,hd,hh;-0,771238;0;4;1
deaths,gpm,xpm;-0,774204;0;3;1
hh,kills,xpm;-0,775695;0;3;1
assists,gpm,hd;-0,776645;0;3;1
deaths,hd,kills;-0,777753;0;3;1
