File files/output_ga/ga_setpack_euclidean_outliers_log,csv
elapsed_time;max_gen_reached
1694,014684;False
corr_threshold;cxpb;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,75;0,8;0,5;0,1;0,5;10;pt;0,2;6;se;0,8;3;0,02;300;None;False;50;True;-1;bin;0,2;True;True
Solutions
evaluation;assists;deaths;denies;gpm;hd;hh;kills;lh;xpm;origin;generation
-1,166765;1;0;1;0;1;1;1;0;1;diversification;28
0,304807;0;0;1;1;0;1;0;1;0;crossover;33
-1,455412;0;0;0;1;0;0;1;0;0;mutation;36
0,265784;0;1;1;1;0;1;0;0;0;mutation;36
-1,573507;0;1;0;0;1;1;1;1;1;diversification;38
-1,557887;1;0;1;0;1;0;1;1;1;diversification;38
-0,479139;1;1;0;0;1;1;0;0;1;diversification;38
-1,168035;1;1;0;0;1;0;0;1;1;diversification;38
0,266690;0;1;0;0;0;1;0;1;0;crossover;39
-1,106479;0;0;0;1;1;1;0;1;1;crossover;49
0,239703;1;1;0;0;0;0;1;1;0;crossover;49
-0,475672;0;1;1;0;1;1;1;0;0;crossover;49
0,258621;1;0;1;1;0;0;1;1;0;crossover;49
-1,160622;0;1;0;0;1;1;0;1;1;crossover;49
-1,587975;1;0;0;0;0;0;1;0;0;mutation;49
-1,141413;1;0;0;0;1;1;0;1;1;crossover;49
-0,863979;1;1;0;0;0;0;1;1;1;mutation;50
-1,544809;0;0;0;0;0;0;1;1;0;mutation;50
-1,425416;0;0;0;1;0;0;0;1;0;mutation;50
0,390482;0;0;0;1;0;1;0;1;0;crossover;50
0,239000;1;1;0;1;0;0;1;1;0;crossover;51
-0,748063;0;0;0;0;0;0;1;1;1;crossover;51
0,315451;0;0;1;0;0;0;1;1;0;crossover;54
-0,862520;1;0;1;0;1;0;1;1;0;diversification;58
-1,554731;1;0;0;0;1;1;1;1;1;diversification;58
0,268053;1;0;1;1;0;0;0;1;0;mutation;61
