k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;euclidean;3;6;1;0.750000;10;6079.089530
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
assists,deaths,denies,hh;0,217896;1;4;0
assists,deaths,denies,gpm,lh;0,217723;1;5;0
assists,deaths,denies,gpm,hh;0,217217;1;5;0
assists,deaths,hh,kills;0,215744;1;4;0
assists,deaths,hh,kills,lh;0,213645;1;5;0
assists,deaths,gpm,hh,kills,lh;0,212776;1;6;0
assists,deaths,denies,gpm,kills,lh;0,210553;1;6;0
assists,deaths,denies,kills,lh;0,210366;1;5;0
assists,deaths,denies,gpm,hd;0,206949;1;5;0
assists,deaths,denies,hh,xpm;0,206280;1;5;0
assists,deaths,denies,hd;0,206173;1;4;0
assists,deaths,denies,gpm,hh,xpm;0,205840;1;6;0
assists,deaths,denies,hh,kills;0,204343;1;5;0
assists,deaths,denies,gpm,hh,kills;0,203703;1;6;0
assists,deaths,denies,hh,lh;0,196634;1;5;0
assists,deaths,denies,gpm,hh,lh;0,195966;1;6;0
assists,deaths,denies,hh,kills,lh;0,191900;1;6;0
assists,deaths,denies,hd,hh;0,185855;1;5;0
assists,deaths,denies,gpm,hd,hh;0,185410;1;6;0
gpm,lh,xpm;-0,262615;0;3;1
gpm,hd,kills;-0,318287;0;3;1
gpm,hd,xpm;-0,323872;0;3;1
hh,lh,xpm;-0,341427;0;3;1
gpm,hh,lh,xpm;-0,342734;0;4;1
gpm,hd,lh;-0,345641;0;3;1
gpm,kills,xpm;-0,352544;0;3;1
denies,hd,kills;-0,356730;0;3;1
denies,gpm,hd,kills;-0,357276;0;4;1
denies,hd,xpm;-0,359440;0;3;1
denies,gpm,hd,xpm;-0,359709;0;4;1
hd,hh,kills;-0,359991;0;3;1
gpm,hd,hh,kills;-0,361005;0;4;1
assists,kills,xpm;-0,362391;0;3;1
assists,gpm,kills,xpm;-0,363717;0;4;1
denies,lh,xpm;-0,368097;0;3;1
denies,gpm,lh,xpm;-0,368731;0;4;1
assists,lh,xpm;-0,375721;0;3;1
assists,gpm,lh,xpm;-0,376284;0;4;1
denies,kills,xpm;-0,379996;0;3;1
assists,hd,kills;-0,380087;0;3;1
assists,hd,xpm;-0,380965;0;3;1
gpm,hd,hh,xpm;-0,381015;0;4;1
assists,gpm,hd,kills;-0,381076;0;4;1
denies,gpm,kills,xpm;-0,381421;0;4;1
assists,gpm,hd,xpm;-0,381782;0;4;1
gpm,hh,kills,xpm;-0,383531;0;4;1
hd,hh,xpm;-0,385033;0;3;1
deaths,lh,xpm;-0,386757;0;3;1
deaths,gpm,lh,xpm;-0,387601;0;4;1
hh,kills,xpm;-0,387890;0;3;1
deaths,kills,xpm;-0,399471;0;3;1
deaths,hd,xpm;-0,401313;0;3;1
denies,hh,lh,xpm;-0,401598;0;4;1
deaths,gpm,kills,xpm;-0,401652;0;4;1
hd,hh,lh;-0,401971;0;3;1
denies,gpm,hh,lh,xpm;-0,402443;0;5;1
deaths,gpm,hd,kills;-0,404898;0;4;1
deaths,hd,kills;-0,405444;0;3;1
deaths,gpm,hd,xpm;-0,405634;0;4;1
denies,hd,lh;-0,406067;0;3;1
gpm,hd,hh,lh;-0,407510;0;4;1
denies,gpm,hd,lh;-0,408800;0;4;1
assists,hd,lh;-0,413218;0;3;1
denies,hd,hh,kills;-0,413270;0;4;1
assists,hh,kills,xpm;-0,413375;0;4;1
assists,gpm,hd,lh;-0,413440;0;4;1
denies,gpm,hd,hh,kills;-0,413867;0;5;1
denies,gpm,hd,hh,xpm;-0,415994;0;5;1
denies,hd,hh,xpm;-0,416868;0;4;1
assists,gpm,hh,kills,xpm;-0,416915;0;5;1
assists,gpm,hd,hh,kills;-0,417184;0;5;1
assists,hd,hh,xpm;-0,417218;0;4;1
assists,denies,kills,xpm;-0,417299;0;4;1
assists,gpm,hd,hh,xpm;-0,417777;0;5;1
assists,denies,gpm,kills,xpm;-0,417947;0;5;1
denies,hh,kills,xpm;-0,422048;0;4;1
assists,hd,hh,kills;-0,422109;0;4;1
assists,gpm,hh,lh,xpm;-0,423547;0;5;1
assists,hh,lh,xpm;-0,424727;0;4;1
deaths,hd,lh;-0,426048;0;3;1
denies,gpm,hh,kills,xpm;-0,426622;0;5;1
deaths,gpm,hd,lh;-0,426718;0;4;1
assists,denies,lh,xpm;-0,427064;0;4;1
assists,denies,gpm,lh,xpm;-0,431231;0;5;1
deaths,denies,gpm,lh,xpm;-0,435960;0;5;1
deaths,denies,lh,xpm;-0,436027;0;4;1
deaths,denies,gpm,kills,xpm;-0,437419;0;5;1
assists,denies,hd,xpm;-0,437475;0;4;1
deaths,denies,kills,xpm;-0,438015;0;4;1
assists,denies,gpm,hd,xpm;-0,438461;0;5;1
assists,denies,hd,kills;-0,438685;0;4;1
deaths,denies,hd,kills;-0,438998;0;4;1
deaths,denies,gpm,hd,kills;-0,439836;0;5;1
assists,denies,hh,kills,xpm;-0,439998;0;5;1
assists,denies,gpm,hd,kills;-0,440036;0;5;1
deaths,hh,lh,xpm;-0,442138;0;4;1
deaths,gpm,hh,lh,xpm;-0,442954;0;5;1
assists,hd,hh,lh;-0,446817;0;4;1
assists,gpm,hd,hh,lh;-0,447233;0;5;1
assists,deaths,lh,xpm;-0,447518;0;4;1
denies,hd,hh,lh;-0,447658;0;4;1
denies,gpm,hd,hh,lh;-0,448201;0;5;1
deaths,denies,hd,xpm;-0,450271;0;4;1
assists,denies,gpm,hd,lh;-0,451887;0;5;1
deaths,hh,kills,xpm;-0,452222;0;4;1
assists,denies,hd,lh;-0,453751;0;4;1
deaths,denies,gpm,hd,xpm;-0,455081;0;5;1
assists,deaths,hd,xpm;-0,455102;0;4;1
assists,deaths,gpm,hd,xpm;-0,455453;0;5;1
assists,deaths,gpm,lh,xpm;-0,456090;0;5;1
assists,deaths,hd,kills;-0,456180;0;4;1
assists,deaths,gpm,hd,kills;-0,456461;0;5;1
